"ensembl_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"ENSG00000170876",511.433271258022,0.14099797265448,0.0550484708801216,2.5613422207772,0.0104268590545975,0.0257020433998482,0.134301414993409,0.0541708994124978,"TMEM43"
"ENSG00000180245",12.6962112894395,-0.44690124533073,0.174490710719266,-2.56117499601305,0.0104318795299698,0.0257020433998482,-0.353141398932677,0.17493659422256,"RRH"
"ENSG00000104320",1176.21530353612,-0.183078174346246,0.071493727830533,-2.56075854346565,0.0104443917505478,0.0257274850164934,-0.168598072996543,0.0697545349722741,"NBN"
"ENSG00000154767",924.938067169985,-0.129624269303942,0.0506205262420234,-2.56070568457134,0.010445980838378,0.0257274850164934,-0.124189730331907,0.0497835855780212,"XPC"
"ENSG00000171155",420.329951971589,-0.189089570053981,0.0738480630368761,-2.56052172904736,0.0104515127386618,0.0257369188122092,-0.174720364421258,0.0720903385324815,"C1GALT1C1"
"ENSG00000255529",638.708151462121,-0.173084466174663,0.0675987388987864,-2.56046886368424,0.0104531029849933,0.0257369188122092,-0.16128368646603,0.0660695358066017,"POLR2M"
"ENSG00000149218",376.900121551299,0.275103631727471,0.107449830460894,2.56029842529714,0.010458231418822,0.0257454919231925,0.240375881233135,0.106006010798296,"ENDOD1"
"ENSG00000169635",73.2993193973866,0.291515103976968,0.113875022135173,2.55995650767848,0.01046852635539,0.0257667789421113,0.252052754500799,0.112509576570025,"HIC2"
"ENSG00000169550",39.6033964858783,-0.353737272045356,0.138190766199238,-2.55977502531067,0.0104739943437257,0.0257729676216561,-0.294509506666584,0.135900878717034,"MUC15"
"ENSG00000197888",1569.19770257709,-1.01676404546351,0.397210127057057,-2.55976365204167,0.010474337100187,0.0257729676216561,-0.649414988192121,0.450874449246675,"UGT2B17"
"ENSG00000101846",678.506030728254,-0.226989165526291,0.0886780494735827,-2.55969957473988,0.0104762683857521,0.0257736640572695,-0.203843798054038,0.0863235080932171,"STS"
"ENSG00000145743",725.066477915753,-0.172629494733374,0.0674510759459959,-2.55932899975662,0.0104874437059597,0.0257970988249319,-0.16090419775031,0.0659383066189996,"FBXL17"
"ENSG00000175727",1328.91266101826,0.32485460921325,0.126948529928115,2.5589473891285,0.0104989629072746,0.0258213719693383,0.27493514584346,0.126448786072418,"MLXIP"
"ENSG00000175352",31.9280702049265,0.45343938412641,0.177250292438907,2.55818694506638,0.0105219510456853,0.0258738399907817,0.354310032020133,0.182893884378348,"NRIP3"
"ENSG00000198879",301.276503638272,0.272048977986451,0.106353041450146,2.55798023523358,0.0105282075953794,0.0258851544290798,0.237833101359557,0.104874759721642,"SFMBT2"
"ENSG00000151789",115.287779844557,0.763852208968372,0.298643478787323,2.55773945598975,0.0105354995065784,0.0258990104990356,0.497714714296976,0.360301944125732,"ZNF385D"
"ENSG00000125703",277.019884832047,-0.215117611610376,0.084124455876953,-2.55713525119288,0.0105538174122044,0.0259399627278592,-0.195392385912326,0.0819812621810699,"ATG4C"
"ENSG00000084072",458.523275508487,-0.131968671172511,0.051609695995065,-2.55705189941692,0.0105563466419013,0.0259421015934953,-0.126257804478566,0.05075892651887,"PPIE"
