"pathway","pval","padj","log2err","ES","NES","size","drug_name","direction","is_candidate"
"ZAMORA_NOS2_TARGETS_UP",0.0601526717557252,0.126988973706531,0.0575901868329747,0.728316854576189,1.24594530330948,54,"ZAMORA_NOS2_TARGETS","UP",FALSE
"MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP",0.0602118003025719,0.127015794624392,0.0572815437800962,0.71123486423256,1.22336936333586,69,"MARTINEZ_RESPONSE_TO_TRABECTEDIN","UP",FALSE
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR",0.0603862266271585,0.127148208931453,0.0575901868329747,0.735389064517985,1.25392068082115,49,"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR","BOTH",FALSE
"LI_INDUCED_T_TO_NATURAL_KILLER_DN",0.0604302151075538,0.127148208931453,0.0569271714142935,0.680702529947749,1.17546242587879,128,"LI_INDUCED_T_TO_NATURAL_KILLER","DN",FALSE
"DAVIES_MULTIPLE_MYELOMA_VS_MGUS_DN",0.0604550379198267,0.127148208931453,0.0593739823723063,0.790373032184489,1.29586182629137,24,"DAVIES_MULTIPLE_MYELOMA_VS_MGUS","DN",FALSE
"BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP",0.0604604604604605,0.127148208931453,0.0569271714142935,0.68762280652518,1.18717141639399,113,"BOYAULT_LIVER_CANCER_SUBCLASS_G1","UP",FALSE
"LE_EGR2_TARGETS_DN",0.0608669536490139,0.127863192191909,0.0567273700625101,0.692139754708782,1.19534281702446,102,"LE_EGR2_TARGETS","DN",FALSE
"DURCHDEWALD_SKIN_CARCINOGENESIS_DN",0.0608939106089391,0.127863192191909,0.0566777211926817,0.652621570462932,1.13331956655606,250,"DURCHDEWALD_SKIN_CARCINOGENESIS","DN",FALSE
"CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN",0.0610313315926893,0.128053468740489,0.0592054667890258,0.793837916774274,1.29697449303089,23,"CREIGHTON_AKT1_SIGNALING_VIA_MTOR","DN",FALSE
"DEMAGALHAES_AGING_DN",0.0612527396470181,0.128419536915128,0.0609531156006142,0.831251108668791,1.31195425402381,15,"DEMAGALHAES_AGING","DN",FALSE
"ZHU_CMV_24_HR_UP",0.0615075376884422,0.12885499472862,0.0565294902385424,0.702317553333598,1.20976408296994,81,"ZHU_CMV_24_HR","UP",FALSE
"MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN",0.0616155988857939,0.128887777620751,0.0596578256057473,0.809273538188878,1.30359193271473,19,"MEINHOLD_OVARIAN_CANCER_LOW_GRADE","DN",FALSE
"MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA_DN",0.0616327847692804,0.128887777620751,0.0585444411550859,0.782933076766837,1.29010878991329,26,"MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA","DN",FALSE
