"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_symbol"
"ENSG00000223975",6.36742987412682,1.8465734059914,0.407934833669016,1.5596476122222e-07,6.96214287808168e-06,"LOC102723380"
"ENSG00000182545",21.3724604083636,1.37043349991505,0.299865993274755,1.57404075259699e-07,7.00648791658825e-06,"RNASE10"
"ENSG00000206633",8.9542600714724,1.4451467279354,0.314432286343448,1.63853225616595e-07,7.22195156834097e-06,"SNORA80B"
"ENSG00000115009",22.2387885832407,2.84608193019409,0.478038705321805,1.66063931467276e-07,7.30913880993085e-06,"CCL20"
"ENSG00000178726",101.184191465635,1.03590299264707,0.224636243704508,1.69968696573944e-07,7.46010650633068e-06,"THBD"
"ENSG00000137818",1324.11897036495,1.1155742131981,0.243829787661211,1.80988703783085e-07,7.86687552570847e-06,"RPLP1"
"ENSG00000141574",50.0465846093168,1.16356567848883,0.254615787381352,1.88868460279426e-07,8.13065785307018e-06,"SECTM1"
"ENSG00000127586",31.2857527912899,1.10776402605985,0.242090805668835,1.92974247628928e-07,8.25345342720752e-06,"CHTF18"
"ENSG00000177374",18.6796686805742,1.10071684307561,0.240004891104241,2.0171235070547e-07,8.55467251453455e-06,"HIC1"
"ENSG00000251443",24.006635834824,-1.11945856742646,0.237017318460993,2.0804565817383e-07,8.7641325117571e-06,"LINC02160"
"ENSG00000110719",277.788018740252,1.18497198494968,0.261473468101975,2.09264407816411e-07,8.79190278080016e-06,"TCIRG1"
"ENSG00000179593",5.24350503737787,1.28861886527092,0.282022987385748,2.10896556180584e-07,8.82508012587353e-06,"ALOX15B"
"ENSG00000226450",25.2611233288144,1.10783392052035,0.243709729471673,2.23591173650171e-07,9.1491877905342e-06,"CYP2D8P"
"ENSG00000178814",198.377830493025,1.269079483891,0.282575786391473,2.34944514079568e-07,9.52692425737355e-06,"OPLAH"
"ENSG00000267309",24.9664595436249,1.0565163407414,0.231983358621089,2.35932237453349e-07,9.55464754408369e-06,"ZNF566-AS1"
"ENSG00000173621",38.5828863847449,2.083869401439,0.475890723184678,2.39388668089163e-07,9.62024077157294e-06,"LRFN4"
"ENSG00000110492",16.3661212329195,1.16423524851096,0.25670198235162,2.44379162657364e-07,9.75663741220589e-06,"MDK"
"ENSG00000146540",104.28243511047,1.0109969890728,0.222625865570872,2.44955989251908e-07,9.75663741220589e-06,"CHLSN"
"ENSG00000143333",38.5826451283887,2.02019238782864,0.27649358203946,2.49520109260134e-07,9.86342006743267e-06,"RGS16"
"ENSG00000187288",7.9179575575047,1.80620719857465,0.403929125025116,2.50717975659808e-07,9.89646947048447e-06,"CIDEC"
"ENSG00000142102",804.307401108413,1.17007518191581,0.260529234750638,2.52420080210814e-07,9.9156918008813e-06,"PGGHG"
"ENSG00000010319",61.6315965925222,1.1130062465373,0.247150673791748,2.60100200010865e-07,1.02040289172751e-05,"SEMA3G"
"ENSG00000164484",36.7537815916975,1.40134374424897,0.314807797434273,2.60409571426674e-07,1.02040289172751e-05,"TMEM200A"
"ENSG00000172889",115.540385337192,1.28326397184739,0.287370545822639,2.6078380547384e-07,1.02059674605491e-05,"EGFL7"
"ENSG00000129932",9.15635512634853,1.33196024151736,0.296428899247864,2.75284750149956e-07,1.06803685903858e-05,"DOHH"
"ENSG00000011600",180.366843266632,1.13907615268545,0.254215929684612,2.82620606155631e-07,1.09245205031327e-05,"TYROBP"
"ENSG00000187796",21.4007824878602,1.17693438148971,0.26189937985808,2.84420202989987e-07,1.09536633568178e-05,"CARD9"
"ENSG00000255462",7.69108088949683,1.50783994597813,0.337574611093404,2.9313072026907e-07,1.11795218630774e-05,"GALNT18-AS1"
"ENSG00000109610",32.1984139860264,2.50875556866911,0.412121457233201,3.01709348979895e-07,1.14788353523513e-05,"SOD3"
"ENSG00000172725",164.340508492087,1.05127830987481,0.234624782033614,3.02965094764304e-07,1.14848987552027e-05,"CORO1B"
