"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.086780090264,0.315,0.062,0,"Endothelial","PKIG"
0,4.43996449951702,0.27,0.018,0,"Endothelial","NID1"
0,3.69058011612083,0.269,0.017,0,"Endothelial","LRRC32"
0,3.37873471154648,0.273,0.022,0,"Endothelial","PROCR"
0,5.41828453119477,0.256,0.006,0,"Endothelial","CPLX1"
0,1.85991903652024,0.312,0.062,0,"Endothelial","SNTB2"
0,3.18409384281106,0.286,0.036,0,"Endothelial","SASH1"
0,1.84157154506811,0.301,0.052,0,"Endothelial","AK1"
0,4.47662978875031,0.259,0.012,0,"Endothelial","SRPX"
0,2.08759755448293,0.279,0.033,0,"Endothelial","LHFP"
0,5.84683758541138,0.253,0.008,0,"Endothelial","FBLN2"
0,2.54735163091542,0.288,0.044,0,"Endothelial","MLLT4"
0,2.94247346705555,0.28,0.038,0,"Endothelial","TP53I11"
0,2.82746386353382,0.284,0.042,0,"Endothelial","TRIM47"
0,2.82647287184392,0.273,0.032,0,"Endothelial","CDA"
0,2.26882676366259,0.303,0.063,0,"Endothelial","SULF2"
0,6.75118079197958,0.255,0.015,0,"Endothelial","ACKR1"
0,3.82279366406736,0.256,0.017,0,"Endothelial","PTPRM"
0,3.88195650657549,0.26,0.022,0,"Endothelial","NTN4"
0,4.05673390228754,0.253,0.015,0,"Endothelial","PTPRG"
0,2.93318326427532,0.272,0.035,0,"Endothelial","PMP22"
0,2.21607632710445,0.294,0.057,0,"Endothelial","APOL1"
0,3.32712240281081,0.273,0.039,0,"Endothelial","HLX"
0,3.18309847692903,0.268,0.035,0,"Endothelial","JUP"
0,2.84979049575937,0.273,0.042,0,"Endothelial","EVA1B"
0,3.13744370126225,0.259,0.029,0,"Endothelial","CFI"
0,3.55995918304986,0.256,0.027,0,"Endothelial","GJA4"
0,3.77376905732325,0.252,0.023,0,"Endothelial","ASS1"
0,2.23893958233471,0.287,0.059,0,"Endothelial","MYO1C"
0,2.21589865098651,0.281,0.054,0,"Endothelial","PIK3C2A"
0,2.98778511514801,0.26,0.035,0,"Endothelial","LAPTM4B"
0,2.67007014894566,0.267,0.043,0,"Endothelial","KLF7"
0,2.55348151070462,0.268,0.046,0,"Endothelial","PPM1F"
0,3.12426687915124,0.25,0.03,0,"Endothelial","MYO10"
0,2.73076647544418,0.254,0.035,0,"Endothelial","FHL1"
0,2.85655590128513,0.251,0.034,0,"Endothelial","MYO6"
0,1.20926003071868,0.975,0.758,0,"Endothelial","NEAT1"
0,2.26890657841458,0.259,0.043,0,"Endothelial","FAM101B"
0,2.56781991703897,0.251,0.039,0,"Endothelial","TSPAN13"
0,1.95408251882709,0.252,0.041,0,"Endothelial","YES1"
