No,Category,Metabolite,Control_Mean,Control_SD,NAFL_Mean,NAFL_SD,NASH_Mean,NASH_SD,Normalized_NAFL,Normalized_NASH,Pval_Control_vs_NAFL,Pval_Control_vs_NASH,Pval_NAFL_vs_NASH,Pval_Kruskal_Wallis,Qval_FDR,min_mean,FDR_recomputed,FDR_paper
1,Amino acids,Alanine,29.4,8.43,33.52,7.42,34.77,6.07,1.14,1.18,0.036,0.016,0.752,0.039,0.163,29.4,0.1621578947368421,0.163
2,Amino acids,Glycine,10.8,3.93,8.86,2.84,10.03,4.75,0.82,0.93,0.009,0.102,0.823,0.036,0.163,8.86,0.1621578947368421,0.163
3,Amino acids,α-Aminobutyric acid,2.27,0.69,2.31,0.85,2.36,0.9,1.02,1.04,0.923,0.707,0.638,0.881,0.916,2.27,0.9157763157894737,0.916
4,Amino acids,Valine,29.17,5.36,33.51,7.13,32.46,5.77,1.15,1.11,0.012,0.034,0.638,0.026,0.149,29.17,0.1467142857142857,0.149
5,Amino acids,β-Aminoisobutyric acid,0.28,0.17,0.3,0.22,0.27,0.25,1.08,0.97,0.944,0.372,0.399,0.62,0.753,0.27,0.7535384615384615,0.753
6,Amino acids,Leucine,17.0,4.0,18.68,4.45,18.46,4.76,1.1,1.09,0.185,0.398,0.728,0.393,0.596,17.0,0.5970576923076923,0.596
7,Amino acids,Isoleucine,19.22,4.66,22.38,6.55,21.75,5.48,1.16,1.13,0.066,0.102,0.92,0.132,0.348,19.22,0.3476,0.348
8,Amino acids,Proline,25.3,6.85,27.74,7.46,28.54,6.73,1.1,1.13,0.165,0.137,0.616,0.236,0.482,25.3,0.4813488372093023,0.482
9,Amino acids,Pipecolic acid,0.25,0.16,0.23,0.09,0.25,0.11,0.91,1.0,0.638,0.526,0.521,0.713,0.786,0.23,0.7856111111111111,0.786
10,Amino acids,Pyroglutamic acid,6.09,3.29,6.65,2.56,7.14,2.3,1.09,1.17,0.281,0.15,0.435,0.291,0.5,6.09,0.49976086956521737,0.5
11,Amino acids,Serine,27.58,8.17,25.37,9.15,29.12,8.19,0.92,1.06,0.253,0.573,0.104,0.21,0.462,25.37,0.4608333333333333,0.462
12,Amino acids,Threonine,78.56,28.72,69.24,30.32,70.84,29.01,0.88,0.9,0.384,0.69,0.982,0.716,0.786,69.24,0.7856111111111111,0.786
13,Amino acids,Phenylalanine,5.01,1.43,5.84,2.38,5.93,2.58,1.17,1.19,0.287,0.268,0.982,0.462,0.651,5.01,0.6500175438596492,0.651
14,Amino acids,Cysteine,0.49,0.5,0.72,0.75,0.65,0.63,1.48,1.34,0.406,0.573,0.859,0.686,0.786,0.49,0.7856111111111111,0.786
15,Amino acids,Aspartic acid,18.57,9.5,25.86,22.78,43.18,80.63,1.39,2.33,0.33,0.007,0.06,0.031,0.162,18.57,0.1621578947368421,0.162
16,Amino acids,4-Hydroxyproline,30.56,25.42,20.53,12.5,18.85,11.48,0.67,0.62,0.305,0.164,0.391,0.302,0.507,18.85,0.5076170212765958,0.507
17,Amino acids,Glutamic acid,6.52,2.47,12.74,6.45,15.88,6.36,1.95,2.43,0.001,0.001,0.011,0.001,0.001,6.52,0.015799999999999998,0.001
18,Amino acids,Tryptophan,19.66,15.2,24.01,19.48,25.3,33.96,1.22,1.29,0.33,0.656,0.616,0.59,0.753,19.66,0.7530483870967742,0.753
19,Amino acids,Tyrosine,20.15,9.59,28.21,18.65,32.41,19.79,1.4,1.61,0.003,0.001,0.261,0.001,0.015,20.15,0.015799999999999998,0.015
20,Amino acids,Methionine,5.07,1.29,4.99,1.46,5.39,1.41,0.98,1.06,0.872,0.481,0.341,0.62,0.753,4.99,0.7535384615384615,0.753
21,Amino acids,α-Aminoadipic acid,0.54,0.24,0.83,0.44,0.62,0.34,1.55,1.16,0.003,0.557,0.091,0.012,0.087,0.54,0.08618181818181819,0.087
22,Amino acids,Sarcosine,2.07,1.64,2.0,0.95,2.41,2.35,0.97,1.16,0.311,0.606,0.74,0.591,0.753,2.0,0.7530483870967742,0.753
23,Amino acids,Creatine,26.68,15.97,27.49,14.2,21.19,12.58,1.03,0.79,0.954,0.335,0.091,0.287,0.5,21.19,0.49976086956521737,0.5
24,Amino acids,Glutamine,174.09,68.05,168.51,58.24,151.61,78.46,0.97,0.87,0.974,0.359,0.318,0.553,0.741,151.61,0.7404576271186442,0.741
25,Amino acids,Creatinine,6.26,2.19,5.59,2.68,5.57,2.32,0.89,0.89,0.248,0.372,0.871,0.469,0.651,5.57,0.6500175438596492,0.651
26,Amino acids,Asparagine,8.5,3.57,8.75,3.84,7.49,3.4,1.03,0.88,0.832,0.335,0.195,0.415,0.619,7.49,0.6185849056603773,0.619
27,Amino acids,Citrulline,6.51,3.92,6.55,3.26,5.0,1.92,1.01,0.77,0.782,0.084,0.08,0.149,0.381,5.0,0.37970967741935485,0.381
28,Amino acids,1-Methylhistidine,0.44,0.21,0.37,0.18,0.31,0.16,0.84,0.7,0.173,0.026,0.268,0.086,0.283,0.31,0.2830833333333333,0.283
29,Amino acids,Histidine,13.48,4.04,12.35,4.23,11.38,3.86,0.92,0.84,0.264,0.108,0.463,0.252,0.482,11.38,0.4813488372093023,0.482
30,Amino acids,3-Methylhistidine,2.44,0.47,2.64,1.88,2.15,0.09,1.08,0.88,0.567,0.018,0.054,0.055,0.218,2.15,0.21725,0.218
