"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",180,0.316524983964463,1.52001860376699,0.00302926821900265,0.00605853643800531,0.00229586643966517,3778,"tags=36%, list=22%, signal=28%","51659/3161/1033/899/10403/9232/699/6790/4171/51203/6713/991/4085/3619/7153/10951/5926/4175/7514/9212/4174/3835/10036/7272/3925/4211/1111/55872/9994/23649/994/890/11004/4751/10460/3832/10721/10024/1163/8065/2176/1062/8438/10733/10664/9700/11104/29127/1031/5885/3149/9055/1869/5933/6118/546/6839/10592/9462/1841/3837/5048/9184/5813/5119",0.431707695803346
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",36,-0.373925036503841,-1.39816972473253,0.0661577608142494,0.100239031536741,0.0379853172139231,1820,"tags=25%, list=11%, signal=22%","27242/8829/7076/11167/1462/4487/2260/6781/7056",0.282013350011725
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",133,-0.274948951040732,-1.3439675161649,0.0295702945232168,0.0476940234245432,0.0180735246661427,1918,"tags=21%, list=11%, signal=19%","4363/10395/23345/627/57178/490/8829/4131/4088/11030/2152/3488/4790/91746/493/5376/390/8997/6541/1843/857/2697/5054/1902/3037/3949/7049/4609",0.352487857583619
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",193,0.276945601491796,1.32020238084652,0.0409711684370258,0.0640174506828528,0.0242592444692916,4637,"tags=39%, list=27%, signal=29%","3161/8996/4199/10327/10380/11015/5223/6790/64077/64132/5834/56052/8974/50808/54982/3925/4190/5351/6383/8704/726/1824/26355/50814/55139/3417/375790/6676/10370/23443/5165/10112/9653/2997/54541/1365/8702/1738/51728/283/3069/6120/55635/6662/6382/3597/26035/7295/2585/4731/4907/8912/2530/10007/1468/2817/10616/4351/7360/79644/3796/839/7436/9348/25796/11285/10331/4282/6888/5318/5224/9672/5631/3425/22976",0.276500599254472
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",194,-0.251489023925163,-1.30298403630175,0.0237474731165399,0.0395791218608999,0.0149984040736042,1464,"tags=14%, list=9%, signal=13%","5155/3717/1012/7128/966/7076/5265/5055/160851/5359/2152/2919/3659/25801/6280/51440/1051/5327/5329/1848/5054/3303/6283/23764/3569/1847/5292",0.352487857583619
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",194,-0.229659863947109,-1.1898854742518,0.088145896656535,0.129626318612551,0.0491215523163353,1502,"tags=15%, list=9%, signal=14%","9437/4318/3589/10563/3717/3394/8661/7076/6890/6356/3383/2268/3559/6059/5552/6354/3625/1445/7097/8767/8807/3976/3553/3586/3459/3566/8651/3569/6347/602",0.266350657088526
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",189,0.247048647374981,1.18807628094613,0.12406576980568,0.177236814008114,0.0671634242557065,2227,"tags=22%, list=13%, signal=19%","26471/7283/4199/899/699/6790/4171/6713/3992/10987/3422/9415/31/1719/5052/51109/79071/5723/10989/6117/27346/10682/51382/23062/4074/3417/4802/60481/2232/80777/3157/26227/5685/10213/23753/5693/6319/54541/5211/7108/7374",0.152144922367565
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",186,0.2464008326573,1.18488933315293,0.137026239067055,0.185170593333859,0.0701699090528306,4665,"tags=40%, list=28%, signal=29%","10133/23568/51573/669/8974/51646/3321/1497/50865/1182/25901/27429/114625/64122/51274/23530/1371/8850/2035/54/3920/54165/3043/2908/4354/7351/115201/23351/4259/57610/10422/3029/10553/7504/9091/8867/7389/210/9562/4005/2235/6917/8945/54977/10158/51094/8780/10107/140609/7001/55034/51092/847/665/23039/286/1870/10181/25796/2145/1193/5498/118/212/644/23112/79269/7029/55532/3045/3145/2994/56674/6535",0.142056643575821
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",196,0.241533656508845,1.17589074366034,0.133942161339422,0.185170593333859,0.0701699090528306,4067,"tags=33%, list=24%, signal=25%","2326/2184/283537/51380/218/2937/52/3172/355/5699/128/116285/873/8529/9054/51128/6539/10653/27346/26061/1562/670/8309/51635/3417/22949/26998/60481/1312/978/23169/2160/50/2099/1644/866/6560/65018/131/23564/4153/7274/957/53/10400/57406/6747/7498/5226/948/54884/5372/2328/55502/225/2110/847/1573/1891/51/55748/2651/27329/839/4836",0.147331213699377
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",193,-0.228110673167499,-1.17377348248455,0.151603498542274,0.199478287555624,0.0755917721263416,2454,"tags=21%, list=15%, signal=18%","3547/7054/3613/7162/11012/5733/9612/6820/2810/7022/26509/6509/3717/9536/573/3398/27075/928/2707/6566/5932/5265/12/2289/3918/493/27295/6280/6337/3251/857/4681/1960/6446/2296/1154/10950/9314/29107/7538/2353",0.195789002148949
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",193,-0.224281456826382,-1.15406974597153,0.166180758017493,0.21305225386858,0.0807355909396726,1822,"tags=16%, list=11%, signal=14%","8736/347/1146/8614/8877/1012/1306/11156/10580/573/2273/7170/8038/3983/1026/1410/7169/3756/6525/1266/4629/3475/6876/5621/7004/89797/4608/688/1839/4616",0.186432558434075
