"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-2.02799787500001,11.9220382619048,-14.2029326903693,2.74287020503361e-21,5.71038147985948e-17,37.8046373386572,"MIR21","Down"
-2.35396237083336,12.9120888968254,-13.8186178530737,1.01917352572777e-20,1.06090868160632e-16,36.5475465912955,"PHLDA1","Down"
-2.34950429583335,12.5094526428571,-13.1671299256807,9.84807323953556e-20,6.8342345591297e-16,34.3696632715516,"MYC","Down"
-3.97971580833335,11.0252357222222,-12.8036769224873,3.57423053542401e-19,1.86029763792481e-15,33.1290912951566,"FOSB","Down"
-1.53515605833335,13.2050295,-12.4997815467122,1.06387244577445e-18,4.27172460452228e-15,32.077844640309,"AXUD1","Down"
-2.15762982500002,12.8922105396825,-12.4593514528546,1.231103685438e-18,4.27172460452228e-15,31.9370347899419,"THBS1","Down"
-3.04525646666668,11.0147719444444,-12.1620562308936,3.62475405336877e-18,1.07805363767263e-14,30.8947975901477,"SOCS3","Down"
-2.63260467500001,11.4738221507937,-12.0566270828979,5.33025670811342e-18,1.38713268007767e-14,30.522326367118,"JUNB","Down"
-2.35822102500002,11.6835719365079,-11.7469292750836,1.66781447296784e-17,3.85802550141306e-14,29.4196237378368,"ADAMTS1","Down"
-1.21015675416668,12.9655987936508,-11.6254488332564,2.61737086848904e-17,4.99284555114379e-14,28.983630366815,"ARID5B","Down"
-2.23047262916668,12.8109522539683,-11.6088491894048,2.78400139009257e-17,4.99284555114379e-14,28.923904695038,"CYR61","Down"
-1.29445105833335,13.5271651587302,-11.5789695920695,3.11138562300959e-17,4.99284555114379e-14,28.8163074068923,"GADD45B","Down"
-1.70413269166669,12.0001676507937,-11.5784266689313,3.11768058815838e-17,4.99284555114379e-14,28.8143512533835,"PPP1R15A","Down"
-1.92238050000002,11.8522873492064,-11.5498279111945,3.46809414709347e-17,5.1573037177385e-14,28.7112558630142,"FAM107A","Down"
-1.81931743750001,12.5240736746032,-11.4856014159184,4.4069159888716e-17,6.11650559815452e-14,28.4793411440427,"C13orf15","Down"
-1.77199330833335,12.4990363174603,-11.2822287115248,9.44060564081619e-17,1.22839980522595e-13,27.7414983592933,"FILIP1L","Down"
-1.37676810833335,12.7477459365079,-11.2494159512987,1.06802590737977e-16,1.28381685084022e-13,27.6219606752806,"PPRC1","Down"
-1.60370475833336,13.8697903412698,-11.2391752367748,1.10998142634727e-16,1.28381685084022e-13,27.5846257420226,"JUN","Down"
-1.79260784166669,12.8594298809524,-11.1490460648655,1.55891250048024e-16,1.70815786039464e-13,27.2554716859757,"SOCS2","Down"
1.04529574583332,10.0308518809524,11.1205640491891,1.73588525389376e-16,1.80696975504071e-13,27.151243877215,"RFXDC2","Up"
-1.67859301250001,11.0014109365079,-11.0675194039755,2.12129950250934e-16,2.10301592108295e-13,26.9568628851506,"EPHA2","Down"
-1.77010034166668,12.3446270873016,-11.0493879914813,2.27195547803486e-16,2.14999277714581e-13,26.8903410105939,"ATF3","Down"
-1.91892896666668,11.418619468254,-10.8785826122402,4.34418389609526e-16,3.83442459711736e-13,26.2617040185787,"FOSL2","Down"
2.57020916249998,10.7347192857143,10.8740176205546,4.42029830111037e-16,3.83442459711736e-13,26.2448543333608,"C10orf140","Up"
1.53861249999998,11.4175388888889,10.8149367964167,5.53567742896672e-16,4.4341694517377e-13,26.0265573835374,"WNT5A","Up"
-1.13678583750002,13.1988630873016,-10.8148431692956,5.53765338129499e-16,4.4341694517377e-13,26.0262111103142,"CEBPD","Down"
