"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009887","animal organ morphogenesis","48/674","417/12380",0.115107913669065,2.11429669320923,5.55414594824999,6.60719510014378e-07,0.000303090058866595,0.000303090058866595,"NRG1/VEGFA/LCTL/SOX9/FAM20A/EPHB2/NKD1/ABLIM1/CHD7/SAMD11/APCDD1/WNT2/SOX4/AXIN2/FZD5/TGFBR2/TUBA1A/AGT/AQP3/FGFR2/PKP2/S1PR1/TGFB2/LGR4/STC1/LFNG/TBX18/ASXL3/COL28A1/TMEM119/COL11A1/FGF10/ADAMTS5/FBN2/ALDH1A3/ERRFI1/GDNF/SFRP4/SFRP2/ACTG2/EDA/TMT1A/COL1A1/ACTA2/LIF/ROBO1/CITED2/MICAL2",48
"GO:0060047","heart contraction","24/674","144/12380",0.166666666666667,3.06132542037587,5.97003037482448,8.35125280609496e-07,0.000340699101865178,0.000340699101865178,"CACNA1G/ADM2/ATP2A2/ABCC9/GCH1/KCNE3/AGT/NEDD4L/CORIN/PKP2/TGFB2/KCND2/STC1/KCND3/TBX18/CACNB2/SCN7A/ADORA1/SCN1B/SGCD/FGF13/SPTBN4/CLIC2/ADRA1B",24
"GO:0003012","muscle system process","40/674","323/12380",0.123839009287926,2.27466904300374,5.56990180850765,9.11649596696787e-07,0.000340699101865178,0.000340699101865178,"LMCD1/NR4A3/KLF15/CACNA1G/MYH13/CFLAR/LMOD1/MYOZ2/ATP2A2/HMOX1/KCNE3/AGT/PDLIM5/NEDD4L/PKP2/KCND2/FOXO1/STC1/MSTN/BDKRB2/KCND3/ADRA2A/ABAT/CACNB2/KCNB2/SCN7A/ADORA1/SCN1B/ERRFI1/FGF13/GDNF/FOXO3/TRPA1/CLIC2/HTR2A/ACTA2/OXTR/LEP/ADRA1B/APBB2",40
"GO:0048514","blood vessel morphogenesis","49/674","435/12380",0.11264367816092,2.06903373239196,5.44642378251872,9.56774508365118e-07,0.000340699101865178,0.000340699101865178,"VEGFA/APOD/SAT1/EPHB2/RHOJ/ADM2/SOX4/COL4A3/COL4A1/TYMP/TGFBR2/ADAMTS1/HMOX1/RHOB/BRCA1/NRXN3/NR4A1/ELMO1/PLXDC1/FGFR2/AMOT/S1PR1/WARS1/TGFB2/DDAH1/CCN3/HIF3A/PTGS2/PIK3R3/EPHB3/FGF10/THBS1/BMPER/ANPEP/HPSE/E2F7/VASH2/ADAM12/SFRP2/TMEM100/EGR3/MFGE8/GLUL/ANG/C6/ROBO1/LEP/RGCC/IL12A",49
"GO:0001525","angiogenesis","46/674","398/12380",0.115577889447236,2.12292918598929,5.46383678852923,1.01277973206058e-06,0.000340699101865178,0.000340699101865178,"VEGFA/APOD/SAT1/EPHB2/RHOJ/ADM2/COL4A3/COL4A1/TYMP/TGFBR2/ADAMTS1/HMOX1/RHOB/BRCA1/NRXN3/NR4A1/PLXDC1/FGFR2/AMOT/S1PR1/WARS1/TGFB2/DDAH1/CCN3/HIF3A/PTGS2/PIK3R3/EPHB3/FGF10/THBS1/BMPER/ANPEP/HPSE/E2F7/VASH2/ADAM12/SFRP2/EGR3/MFGE8/GLUL/ANG/C6/ROBO1/LEP/RGCC/IL12A",46
"GO:0007411","axon guidance","23/674","137/12380",0.167883211678832,3.08367086140051,5.88455934705692,1.23780458122397e-06,0.000390372619803508,0.000390372619803508,"VEGFA/RAC3/EPHB2/FLRT3/NRXN3/SEMA6D/PLEKHG4/EPHA4/TENM4/SCN1B/EPHB3/LGI1/NEXN/CXCL12/PLXNA4/GDNF/KALRN/RPS6KA5/EPHB6/ROBO1/SEMA3A/EPHA5/KIAA1755",23
"GO:0097485","neuron projection guidance","23/674","138/12380",0.166666666666667,3.06132542037587,5.84289907151938,1.41074011594725e-06,0.000418740860298226,0.000418740860298226,"VEGFA/RAC3/EPHB2/FLRT3/NRXN3/SEMA6D/PLEKHG4/EPHA4/TENM4/SCN1B/EPHB3/LGI1/NEXN/CXCL12/PLXNA4/GDNF/KALRN/RPS6KA5/EPHB6/ROBO1/SEMA3A/EPHA5/KIAA1755",23
"GO:0030335","positive regulation of cell migration","47/674","421/12380",0.111638954869359,2.05057902267457,5.26248425718999,2.06063109987263e-06,0.000577663584997627,0.000577663584997627,"VEGFA/MYADM/TNFAIP6/NR4A3/SOX9/PDPN/EPHB2/ARHGEF2/RHOJ/SYNPO2/ADAMTS1/HMOX1/CCL8/RHOB/AGT/NEDD9/SEMA6D/BDKRB1/AMOT/S1PR1/TGFB2/CCN1/IL34/MSTN/EPHA4/FAM107A/PTGS2/ADRA2A/PIK3R3/SUN2/DAAM2/LRRC15/FGF10/ENPP2/THBS1/CARMIL1/DAPK2/PRKCE/HPSE/CXCL12/MMP7/CCL7/COL1A1/PLCG2/ACTA2/SEMA3A/IL12A",47
"GO:0030198","extracellular matrix organization","29/674","207/12380",0.140096618357488,2.57328803451884,5.47725639706837,2.55926980426744e-06,0.000645703771616675,0.000645703771616674,"PDPN/CFLAR/COL4A3/AXIN2/COL4A1/GPM6B/ADAMTS1/ADAMTSL1/AGT/COL27A1/DPT/TGFB2/MMP15/POSTN/CCN3/COL28A1/COL11A1/ADAMTS5/HPSE/MMP7/NID1/LAMA2/COL4A4/COL7A1/ADAMTS14/COL1A1/MMP10/ANGPTL7/RGCC",29
"GO:0043062","extracellular structure organization","29/674","207/12380",0.140096618357488,2.57328803451884,5.47725639706837,2.55926980426744e-06,0.000645703771616675,0.000645703771616674,"PDPN/CFLAR/COL4A3/AXIN2/COL4A1/GPM6B/ADAMTS1/ADAMTSL1/AGT/COL27A1/DPT/TGFB2/MMP15/POSTN/CCN3/COL28A1/COL11A1/ADAMTS5/HPSE/MMP7/NID1/LAMA2/COL4A4/COL7A1/ADAMTS14/COL1A1/MMP10/ANGPTL7/RGCC",29
"GO:0045229","external encapsulating structure organization","29/674","209/12380",0.138755980861244,2.54866326863828,5.41795607207742,3.11356974425094e-06,0.000748146329975726,0.000748146329975726,"PDPN/CFLAR/COL4A3/AXIN2/COL4A1/GPM6B/ADAMTS1/ADAMTSL1/AGT/COL27A1/DPT/TGFB2/MMP15/POSTN/CCN3/COL28A1/COL11A1/ADAMTS5/HPSE/MMP7/NID1/LAMA2/COL4A4/COL7A1/ADAMTS14/COL1A1/MMP10/ANGPTL7/RGCC",29
"GO:0008016","regulation of heart contraction","21/674","125/12380",0.168,3.08581602373887,5.62396770389277,3.533069202023e-06,0.000810357599700366,0.000810357599700366,"CACNA1G/ADM2/ATP2A2/ABCC9/GCH1/KCNE3/AGT/CORIN/PKP2/TGFB2/KCND2/STC1/KCND3/TBX18/CACNB2/ADORA1/SCN1B/FGF13/SPTBN4/CLIC2/ADRA1B",21
"GO:0048871","multicellular organismal-level homeostasis","50/674","470/12380",0.106382978723404,1.95403750236757,5.05972560124111,3.92527696433933e-06,0.000857119010737829,0.000857119010737829,"VEGFA/GADD45G/NR4A3/G0S2/INPP5D/SOX9/TSC22D3/HMOX1/CUBN/TNFSF13B/TUBA1A/AQP3/S1PR1/UBASH3B/DIO2/ADCY4/FOXO1/LGR4/CCN3/PTGS2/FABP4/ABAT/MCHR1/MAFB/PDK4/ADORA1/SIGLEC15/HMGB2/TMEM119/GDF15/ADCY8/ADAMTS5/SCD/HBA2/PER2/TJP2/LAMA2/P2RX7/HBA1/FOXO3/GLUL/CRACD/HTR2A/ACSL1/OXTR/LEP/ADCY1/SEPTIN4/ACP5/APBB2",50
"GO:0071363","cellular response to growth factor stimulus","52/674","497/12380",0.104627766599598,1.92179784941101,5.03291164482482,4.07666592503129e-06,0.000857119010737829,0.000857119010737829,"JUN/VEGFA/TNFAIP6/NGF/SOX9/CFLAR/WNT2/TGFBR2/CILP/FLRT3/AGT/GCLM/NR4A1/PMEPA1/FGFR2/CHRDL2/TGFB2/SORT1/GDF5/CCN1/MSTN/FSTL5/CCN3/CRIM1/TMEM119/GDF15/FGF10/THBS1/BMPER/VCAM1/FBN2/CDKN2B/ERRFI1/FSTL3/FGF22/SFRP4/GDF7/SAP30/TMEM100/FOXO3/TSPAN32/EGR3/COL1A1/ING2/ACTA2/ROBO1/RGCC/ACVR1C/FST/CITED2/IL12A/TSC22D1",52
"GO:0032870","cellular response to hormone stimulus","50/674","473/12380",0.105708245243129,1.9416440298367,5.01054100525046,4.70084032303582e-06,0.00094881761080155,0.00094881761080155,"DUSP1/GPR150/CAMK2A/PER1/NR4A3/DHRS3/KLF15/NCOA3/NR0B1/CFLAR/AXIN2/SOCS1/AGT/ENPP1/BRCA1/GCLM/NR4A1/PMEPA1/KLF9/IRS2/ADCY4/FOXO1/STC1/GNG2/MSTN/KANK1/FAM107A/LBH/ADRA2A/CCKAR/PIK3R3/KLF5/PDK4/TRIB3/GDF15/SORBS1/ADCY8/INHBB/IGFBP2/PIK3R1/CYP24A1/ERRFI1/LMO3/AGTRAP/RXFP1/FOXO3/OXTR/LEP/ADCY1/RAMP3",50
"GO:2000147","positive regulation of cell motility","47/674","435/12380",0.108045977011494,1.9845833759678,5.01617315923709,5.07023417659316e-06,0.000984015448272657,0.000984015448272657,"VEGFA/MYADM/TNFAIP6/NR4A3/SOX9/PDPN/EPHB2/ARHGEF2/RHOJ/SYNPO2/ADAMTS1/HMOX1/CCL8/RHOB/AGT/NEDD9/SEMA6D/BDKRB1/AMOT/S1PR1/TGFB2/CCN1/IL34/MSTN/EPHA4/FAM107A/PTGS2/ADRA2A/PIK3R3/SUN2/DAAM2/LRRC15/FGF10/ENPP2/THBS1/CARMIL1/DAPK2/PRKCE/HPSE/CXCL12/MMP7/CCL7/COL1A1/PLCG2/ACTA2/SEMA3A/IL12A",47
"GO:0001503","ossification","33/674","262/12380",0.125954198473282,2.31352073753596,5.15632847016776,5.7167495529709e-06,0.00106839697201078,0.00106839697201078,"ITGA11/TNFAIP6/LRRC17/SOX9/GPM6B/IGSF10/ZBTB16/CCN2/ENPP1/FGFR2/CHRDL2/S1PR1/SORT1/GDF5/CCN1/LGR4/STC1/TENT5A/CCN3/CRIM1/TMEM119/PKDCC/IGFBP2/FBN2/CYP24A1/P2RX7/FSTL3/SLC24A3/TMT1A/COL1A1/ZHX3/LEP/DNAI3",33
"GO:0051952","regulation of amine transport","10/674","33/12380",0.303030303030303,5.56604621886521,6.30209606441364,6.3191849472239e-06,0.00113880740156042,0.00113880740156042,"SLC7A5/ADRA2A/ABAT/SLC38A2/ADORA1/CXCL12/PER2/GDNF/HTR2A/LEP",10
"GO:2000146","negative regulation of cell motility","30/674","229/12380",0.131004366812227,2.40628198981509,5.15409732861133,6.90485674964235e-06,0.00118768132093492,0.00118768132093492,"DUSP1/APOD/TNFAIP6/ADARB1/HMOX1/RHOB/NEDD9/FRMD5/NAV3/STC1/CCN3/EPHA4/KANK1/ALOX15B/GDF15/SPINT2/THBS1/RAP2B/CXCL12/DUSP10/SFRP2/SAP30/FOXO3/ING2/MCTP1/ROBO1/RGCC/ACVR1C/DNAI3/CITED2",30
"GO:0050678","regulation of epithelial cell proliferation","27/674","195/12380",0.138461538461538,2.54325496461995,5.2120754211194,7.06112557036219e-06,0.00118768132093492,0.00118768132093492,"VEGFA/NR4A3/SOX9/CFLAR/COL4A3/HMOX1/NR4A1/FGFR2/KLF9/TGFB2/GDF5/HMGB2/FGF10/THBS1/CDKN2B/VASH2/CXCL12/ERRFI1/DUSP10/SFRP2/EGR3/ANG/ROBO1/LEP/MTSS1/RGCC/IL12A",27
"GO:0040017","positive regulation of locomotion","47/674","444/12380",0.105855855855856,1.94435533456305,4.86257135973286,8.78575758542641e-06,0.00143009460567941,0.00143009460567941,"VEGFA/MYADM/TNFAIP6/NR4A3/SOX9/PDPN/EPHB2/ARHGEF2/RHOJ/SYNPO2/ADAMTS1/HMOX1/CCL8/RHOB/AGT/NEDD9/SEMA6D/BDKRB1/AMOT/S1PR1/TGFB2/CCN1/IL34/MSTN/EPHA4/FAM107A/PTGS2/ADRA2A/PIK3R3/SUN2/DAAM2/LRRC15/FGF10/ENPP2/THBS1/CARMIL1/DAPK2/PRKCE/HPSE/CXCL12/MMP7/CCL7/COL1A1/PLCG2/ACTA2/SEMA3A/IL12A",47
"GO:0006935","chemotaxis","34/674","281/12380",0.120996441281139,2.2224568888138,4.97370981924888,9.97443894026835e-06,0.00152518239068467,0.00152518239068467,"DUSP1/NRG1/VEGFA/TNFAIP6/RAC3/ACKR2/TYMP/CH25H/FLRT3/CCL8/NEDD9/NR4A1/SEMA6D/S1PR1/TGFB2/CCN1/IL34/MSTN/CCN3/HMGB2/FGF10/ENPP2/THBS1/VCAM1/DAPK2/CXCL12/PLXNA4/GDNF/CCL7/EGR3/ACKR4/ROBO1/SEMA3A/IL12A",34
"GO:0042330","taxis","34/674","281/12380",0.120996441281139,2.2224568888138,4.97370981924888,9.97443894026835e-06,0.00152518239068467,0.00152518239068467,"DUSP1/NRG1/VEGFA/TNFAIP6/RAC3/ACKR2/TYMP/CH25H/FLRT3/CCL8/NEDD9/NR4A1/SEMA6D/S1PR1/TGFB2/CCN1/IL34/MSTN/CCN3/HMGB2/FGF10/ENPP2/THBS1/VCAM1/DAPK2/CXCL12/PLXNA4/GDNF/CCL7/EGR3/ACKR4/ROBO1/SEMA3A/IL12A",34
"GO:0040013","negative regulation of locomotion","30/674","235/12380",0.127659574468085,2.34484500284109,4.99431436063313,1.15970931647712e-05,0.00172114506204222,0.00172114506204222,"DUSP1/APOD/TNFAIP6/ADARB1/HMOX1/RHOB/NEDD9/FRMD5/NAV3/STC1/CCN3/EPHA4/KANK1/ALOX15B/GDF15/SPINT2/THBS1/RAP2B/CXCL12/DUSP10/SFRP2/SAP30/FOXO3/ING2/MCTP1/ROBO1/RGCC/ACVR1C/DNAI3/CITED2",30
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","31/674","248/12380",0.125,2.2959940652819,4.94687711503337,1.27616084489067e-05,0.0018398593209481,0.0018398593209481,"JUN/TNFAIP6/TGFBR2/CILP/PMEPA1/CHRDL2/TGFB2/GDF5/CCN1/MSTN/FSTL5/CCN3/CRIM1/TMEM119/GDF15/THBS1/BMPER/INHBB/FBN2/CDKN2B/FSTL3/SFRP4/GDF7/SAP30/TMEM100/ING2/RGCC/ACVR1C/FST/CITED2/TSC22D1",31
