"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"3-methylcrotonyl-CoA",6,-0.411,7.812,4.788,8.405e-07,"ACADSB; IVD; GLYAT; MCCC1; MCCC2; AUH",0.001999
"palmitate",44,0.166,12.996,4.38,5.929e-06,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.00705
"Hyodeoxycholic acid-24glucuronide, HDCA-24G",7,-0.467,7.528,4.203,1.317e-05,"UGT1A3; UGT2A3; UGT2A1; ABCG2; ABCB11; ABCC2; ABCC3",0.008569
"3'-S-hydroxy-pravastatin-tetranor",3,-0.7,6.077,4.147,1.685e-05,"ABCB11; ABCC2; ABCG2",0.008569
"arachidonate",66,-0.018,14.619,4.13,1.815e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.008569
"Chenodeoxycholic acid-24glucuronide, CDCA-24G",7,-0.467,7.528,4.089,2.162e-05,"UGT1A3; UGT2A3; UGT2A1; ABCG2; ABCB11; ABCC2; ABCC3",0.008569
"myristic acid",31,0.158,11.175,3.863,5.609e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.01511
"Ganglioside Gm1",7,0.264,7.131,3.855,5.779e-05,"NEU1; CTSA; GALNS; GLB1; PSAP; GM2A; NEU3",0.01511
"pravastatin glucuronide",3,-0.7,6.077,3.846,6e-05,"ABCB11; ABCC2; ABCG2",0.01511
"5,6-epoxy-3-alpha-iso-pravastatin",4,-0.718,6.29,3.827,6.492e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"triol metabolite of pravastatin",4,-0.718,6.29,3.8,7.233e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"7-hydroxy-3-alpha-iso-pravastatin",4,-0.718,6.29,3.766,8.309e-05,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01511
"lauric acid",33,0.171,11.103,3.753,8.722e-05,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.01511
"3-methylglutaconyl-CoA",3,-0.295,5.872,3.749,8.894e-05,"MCCC1; MCCC2; AUH",0.01511
"desacyl dehydro-pravastatin",4,-0.718,6.29,3.69,0.0001123,"CYP3A4; ABCB11; ABCC2; ABCG2",0.0178
"3-keto-5,6,-dihydroxy-pravastatin",4,-0.718,6.29,3.653,0.0001294,"CYP3A4; ABCB11; ABCC2; ABCG2",0.01923
"D-lactaldehyde",20,-0.073,9.343,3.606,0.0001555,"ALDH5A1; ALDH6A1; ALDH18A1; ALDH2; ALDH4A1; ALDH1B1; GRHPR; ADH4",0.02175
"stearate",32,0.189,10.823,3.563,0.000183,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.02333
"insulin-(SS)",6,0.138,6.644,3.559,0.0001864,"TMX3; PDIA3; PDIA4; PDIA6; PDIA5; P4HB",0.02333
"3-Oxo-Cis-9-Octadecenoyl Coenzyme A",4,0.761,6.049,3.508,0.0002259,"ELOVL6; ELOVL5; ELOVL2; ELOVL1",0.02686
"Insulin-(SH)2",6,0.138,6.644,3.449,0.0002817,"TMX3; PDIA3; PDIA4; PDIA6; PDIA5; P4HB",0.0319
"Lithocholic acid-24glucuronide, CDCA-24G",8,-0.411,7.093,3.422,0.0003108,"UGT1A3; UGT2A3; UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.03293
"D-lactate",19,0.006,8.826,3.415,0.0003185,"ALDH5A1; ALDH6A1; ALDH18A1; ALDH2; ALDH4A1; ALDH1B1; HAGH; HAGHL",0.03293
"margaric acid",27,0.242,10.084,3.344,0.0004123,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04085
"eicosanoate",27,0.302,9.921,3.318,0.0004529,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04308
"elaidate",26,0.232,9.925,3.269,0.00054,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04657
"2-aminoadipate 6-semialdehyde",4,-0.41,5.772,3.268,0.0005423,"AASS; SCCPDH; ALDH7A1; PHYKPL",0.04657
"3'-S-hydroxy-pravastatin",8,-0.443,6.802,3.264,0.0005484,"CYP3A4; CYP4F2; CYP4F3; ABCB11; ABCC2; ABCG2; SLCO1B1; SLCO2B1",0.04657
"pentadecylic acid",27,0.242,10.084,3.235,0.0006081,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04827
"chenodiol",20,-0.042,8.947,3.223,0.0006347,"BAAT; ACOT7; ACOT1; ACOT8; ACOT4; SLC27A5; SLC27A2; SULT2A1",0.04827
"palmitolate",26,0.21,9.74,3.217,0.0006487,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04827
"L-glutamate 5-semialdehyde",3,0.151,5.479,3.209,0.0006663,"ALDH4A1; OAT; ALDH18A1",0.04827
"glutamate",88,-0.032,15.546,3.205,0.0006756,"GOT2; TAT; GGT1; GGT7; GGT6; GGT5; AADAT; KYAT3",0.04827
"cis-gondoic acid",25,0.266,9.594,3.193,0.000703,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04827
"9-heptadecylenic acid",25,0.231,9.593,3.19,0.0007104,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.04827
"oleate",28,0.2,10.029,3.152,0.0008095,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.05347
"behenic acid",28,0.229,9.876,3.124,0.000891,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.05611
"hypotaurine",3,1.31,5.145,3.119,0.0009084,"CSAD; ADO; FMO1",0.05611
"6-epipravastatin",5,-0.488,5.841,3.115,0.0009203,"ABCB11; ABCC2; ABCG2; SLCO1B1; SLCO2B1",0.05611
"(6Z,9Z)-octadecadienoic acid",25,0.231,9.593,3.107,0.0009465,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.05627
"keratan sulfate II (core 2-linked), degradation product 1",4,0.316,5.518,3.087,0.001012,"NEU1; GALNS; GLB1; CTSA",0.0587
"myo-inositol-hexakisphosphate",9,0.573,6.862,3.074,0.001058,"IPPK; PPIP5K1; IP6K2; IP6K1; PPIP5K2; IP6K3; NUDT10; NUDT3",0.05875
"3-alpha-iso-pravastatin",6,-0.535,6.171,3.069,0.001074,"ABCB11; ABCC2; ABCG2; SLCO1B1; SLCO2B1; CYP3A4",0.05875
"(9E)-tetradecenoic acid",27,0.198,9.704,3.065,0.001087,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.05875
"Galactosyl Glucosyl Ceramide",12,0.341,7.642,3.045,0.001163,"B4GALNT1; GAL3ST1; GLB1; PSAP; GLA; HEXB; HEXA; GM2A",0.06095
"linoleate",49,-0.046,12.225,3.041,0.001179,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06095
"(7Z)-octadecenoic acid",26,0.218,9.556,3.028,0.001233,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06238
"keratan sulfate II (core 4-linked), degradation product 1",4,0.316,5.518,3.02,0.001264,"NEU1; GALNS; GLB1; CTSA",0.06262
"keratan sulfate II (core 4-linked), degradation product 2",4,0.316,5.518,2.986,0.001415,"NEU1; GALNS; GLB1; CTSA",0.06626
"tridecylic acid",27,0.253,9.677,2.98,0.00144,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06626
"mead acid",24,0.264,9.275,2.979,0.001444,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06626
"simvastatin dihydroxy acid form",4,-0.281,5.411,2.978,0.001449,"ABCB1; UGT1A3; UGT1A1; PON3",0.06626
"Chenodeoxycholic acid-3glucuronide, CDCA-3G",7,-0.26,6.187,2.964,0.00152,"UGT2A3; UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.0672
"7-palmitoleic acid",25,0.231,9.593,2.962,0.001526,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.0672
"(R)-methylmalonyl-CoA",3,-0.474,5.162,2.947,0.001606,"MCEE; MMUT; ALDH6A1",0.06909
"dihomo-gamma-linolenate",29,0.257,10.028,2.942,0.001628,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06909
"(7Z)-tetradecenoic acid",26,0.218,9.556,2.937,0.001656,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.06909
"keratan sulfate II (core 2-linked), degradation product 2",4,0.316,5.518,2.911,0.001801,"NEU1; GALNS; GLB1; CTSA",0.07384
"(13Z)-octadecenoic acid",26,0.218,9.556,2.904,0.001841,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.0742
"linolenate",23,0.282,9.015,2.891,0.00192,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.07464
"keratan sulfate I, degradation product 4",4,0.316,5.518,2.887,0.001945,"NEU1; GALNS; GLB1; CTSA",0.07464
"keratan sulfate I, degradation product 5",4,0.316,5.518,2.887,0.001946,"NEU1; GALNS; GLB1; CTSA",0.07464
"L-2-aminoadipate",3,-0.452,5.028,2.876,0.002012,"AADAT; ALDH7A1; SLC25A21",0.0755
"(10Z)-heptadecenoic acid",26,0.218,9.556,2.873,0.002032,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.0755
"5-pp-inspP5",8,0.596,6.356,2.854,0.002159,"PPIP5K1; IP6K2; IP6K1; PPIP5K2; IP6K3; NUDT10; NUDT3; NUDT4",0.07899
"omega-3-arachidonic acid",23,0.291,9.148,2.828,0.002341,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08323
"3-oxo-eicosadienoyl-CoA",6,0.599,5.831,2.806,0.002504,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08323
"gamma-linolenate",26,0.218,9.556,2.806,0.002511,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08323
"pravastatin",6,-0.423,5.86,2.806,0.00251,"CYP3A4; CYP4F2; CYP4F3; ABCC2; ABCG2; SLCO2B1",0.08323
"Hyocholic acid-24glucuronide, HCA-24G",7,-0.26,6.187,2.805,0.002515,"UGT2A3; UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.08323
"Lithocholic acid-3glucuronide, CDCA-3G",7,-0.26,6.187,2.805,0.002516,"UGT2A3; UGT2A1; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.08323
"3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA",6,0.599,5.831,2.804,0.00252,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08323
"physeteric acid",26,0.218,9.556,2.797,0.00258,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08381
"cis-vaccenic acid",27,0.198,9.657,2.793,0.002608,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08381
"(11Z,14Z)-eicosadienoic acid",24,0.274,9.111,2.788,0.002653,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08412
"3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA",6,0.599,5.831,2.781,0.002713,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08437
"3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA",6,0.599,5.831,2.778,0.002732,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08437
"3-oxodocasa-cis,cis-13,16-dienoyl-CoA",6,0.599,5.831,2.772,0.002788,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.085
"3-oxo-9-cis-eicosenoyl-CoA",6,0.599,5.831,2.764,0.002857,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08517
"2-oxoadipate",4,-0.287,5.252,2.759,0.002897,"SLC25A21; AADAT; DHTKD1; OGDH",0.08517
"lignocerate",26,0.26,9.44,2.759,0.002901,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08517
"adrenic acid",23,0.258,9.009,2.741,0.003065,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08887
"2-hydroxy-atorvastatin-lactone-glucuronide",4,-0.476,5.302,2.737,0.003102,"UGT1A4; UGT1A3; ABCB1; ABCC2",0.08887
"3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA",6,0.599,5.831,2.728,0.003185,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.08911
"9-eicosenoic acid",24,0.274,9.111,2.728,0.003183,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.08911
"nonadecylic acid",24,0.274,9.111,2.706,0.003408,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.09424
"AKG",55,-0.111,12.42,2.692,0.003551,"IDH1; HIF1A; L2HGDH; PHGDH; GOT2; TAT; P4HA1; P4HB",0.09676
"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA",6,0.599,5.831,2.688,0.003599,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09676
"3-oxoeicosa-cis,cis-11,14-dienoyl-CoA",6,0.599,5.831,2.679,0.003692,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09676
"3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA",6,0.599,5.831,2.677,0.003716,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09676
"3-oxo-11cis-docosenoyl-CoA",6,0.599,5.831,2.673,0.003763,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09676
"EPA",29,0.263,9.759,2.668,0.003819,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.09676
"3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA",6,0.599,5.831,2.667,0.003825,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09676
"8,11-eicosadienoic acid",24,0.274,9.111,2.667,0.003822,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.09676
"3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA",6,0.599,5.831,2.663,0.003872,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.09692
"(13Z)-eicosenoic acid",24,0.274,9.111,2.654,0.003979,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.09784
"2-hydroxy-atorvastatin-acyl-glucuronide",4,-0.476,5.302,2.653,0.003991,"UGT1A4; UGT1A3; ABCB1; ABCC2",0.09784
"stearidonic acid",24,0.258,9.122,2.648,0.004045,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.09815
"nervonic acid",23,0.217,8.74,2.62,0.004395,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1047
"glycine",73,-0.009,13.631,2.619,0.004404,"BAAT; DPEP2; SHMT2; SLC36A1; GLYAT; GLYATL1; SHMT1; GCAT",0.1047
"3-oxotricosanoyl-CoA",6,0.599,5.831,2.615,0.004464,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.105
"3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA",6,0.599,5.831,2.612,0.004502,"ELOVL5; ELOVL7; ELOVL2; ELOVL6; ELOVL1; HSD17B12",0.105
"2-methyl-3-oxopropanoate",11,-0.195,6.84,2.606,0.004576,"HSD17B10; HIBADH; ALDH2; AOX1; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1",0.1056
"D-glucitol",7,0.124,5.977,2.602,0.004639,"COPG2; COPE; ARCN1; COPG1; SORD; AKR1B1; FAM20B",0.1061
"GSSG",19,0.194,8.186,2.595,0.004732,"GPX3; GPX8; PRDX6; GPX2; GPX4; GPX1; GPX7; ALOX12",0.1064
"(13E)-tetranor-16-carboxy-LTE4",6,0.414,5.68,2.59,0.004797,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1",0.1064
"10,13,16,19-docosatetraenoic acid",22,0.241,8.626,2.588,0.004824,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1064
"cerivastatin-M1",5,-0.502,5.362,2.588,0.004831,"CYP3A4; CYP2C8; ABCG2; UGT1A3; UGT1A1",0.1064
"core 6",5,0.298,5.4,2.566,0.00514,"NEU1; GALNS; GLB1; CTSA; GCNT1",0.1118
"pyruvate",44,0.005,11.124,2.562,0.005198,"AGXT2; LDHD; SDSL; SDS; SRR; GPT; MPST; TST",0.1118
"rosuvastatin",6,-0.638,5.793,2.561,0.00522,"CYP2C9; CYP2C19; ABCG2; PON3; SLCO2B1; SLCO1A2",0.1118
"l2n2m2mn",6,0.107,5.646,2.557,0.005272,"NEU4; NEU1; CTSA; NEU3; GLB1; GALNS",0.1119
"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",22,0.241,8.626,2.554,0.005323,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.112
"m2gacpail heparan sulfate",3,-0.27,4.713,2.551,0.005367,"PIGV; PIGB; PIGN",0.112
"GA1",15,0.061,7.505,2.546,0.005443,"B3GALT4; ST3GAL1; ST3GAL4; ST3GAL2; GLB1L; LCT; GLB1; TMPPE",0.1122
"phosphatidate-LD-PC pool",21,0.202,8.46,2.544,0.005474,"AGPAT4; AGPAT2; MBOAT1; AGPAT3; AGPAT1; AGPAT5; ABHD5; MBOAT2",0.1122
"1D-myo-inositol-bisdiphosphate-tetrakisphosphate",5,1.084,5.297,2.541,0.00553,"PPIP5K1; PPIP5K2; IP6K2; IP6K1; IP6K3",0.1124
"heneicosanoic acid",22,0.241,8.626,2.536,0.005607,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.113
"omega-carboxy-trinor-LTB4",6,0.414,5.68,2.528,0.005738,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1",0.1147
"cysteamine",3,0.505,4.898,2.524,0.005803,"ADO; VNN2; VNN1",0.115
"propanoate",17,0.184,7.768,2.516,0.005939,"ACSS3; ACSS1; ACSS2; ACOT7; ACOT8; ACOT4; BAAT; ACOT9",0.1167
"arachidonyl-CoA",56,0.168,12.295,2.505,0.006114,"FADS1; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6",0.1192
"ximenic acid",22,0.241,8.626,2.498,0.006245,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1202
"methylmalonate",7,-0.193,5.87,2.497,0.006267,"ALDH2; AOX1; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; ALDH6A1",0.1202
"1D-myo-inositol-1,3,4,5,6-pentakisphosphate",8,0.783,6.201,2.488,0.006427,"IPMK; ITPK1; IPPK; PPIP5K1; IP6K2; IP6K1; PPIP5K2; IP6K3",0.1218
"(11Z,14Z,17Z)-eicosatrienoic acid",24,0.266,8.981,2.484,0.006505,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1218
"glycerate",7,-0.171,5.861,2.484,0.0065,"ALDH2; ALDH3A2; ALDH9A1; ALDH1B1; ALDH7A1; GLYCTK; GRHPR",0.1218
"glycolate",10,0.188,6.519,2.48,0.006572,"GRHPR; HAO1; ALDH9A1; ALDH3A2; ALDH7A1; ALDH3A1; ALDH3B1; ALDH1B1",0.122
"memgacpail heparan sulfate",3,-0.27,4.713,2.477,0.006618,"PIGV; PIGB; PIGN",0.122
"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate",6,0.414,5.68,2.458,0.006982,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1",0.1277
"cis-cetoleic acid",23,0.225,8.595,2.448,0.007177,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1303
"2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid",10,-0.425,6.51,2.445,0.007236,"UGT1A4; UGT1A3; CYP3A5; CYP3A4; CYP2C8; PON3; ABCB1; ABCC2",0.1304
"DHA",24,0.201,8.734,2.439,0.007367,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1317
"tricosanoic acid",23,0.225,8.595,2.433,0.007493,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.133
"(4Z,7Z,10Z,13Z,16Z)-DPA",23,0.225,8.595,2.429,0.007569,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1333
"10,13,16-docosatriynoic acid",23,0.225,8.595,2.417,0.007823,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1353
"2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone",9,-0.44,6.398,2.417,0.007819,"PON3; UGT1A4; UGT1A3; CYP3A5; CYP3A4; ABCB1; ABCC2; SLCO1B1",0.1353
"cis-erucic acid",23,0.217,8.74,2.416,0.007852,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1353
"cerotic acid",23,0.225,8.595,2.411,0.007957,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1361
"lithocholate",14,-0.364,7.125,2.406,0.008064,"CYP3A4; CYP8B1; BAAT; SLCO1B3; SLCO1A2; ABCB11; ABCC3; ABCC11",0.1369
"18-COOH-LTE4",6,0.414,5.68,2.404,0.008116,"ACOT7; BAAT; ACOT6; ACOT4; ACOT2; ACOT1",0.1369
"cerivastatin-M23",5,-0.502,5.362,2.395,0.008316,"CYP3A4; CYP2C8; ABCG2; UGT1A3; UGT1A1",0.1389
"Hyodeoxycholic acid-6glucuronide, HDCA-6G",8,-0.214,6.046,2.391,0.008396,"UGT2A3; UGT2A1; UGT2B4; UGT2B7; ABCG2; ABCB11; ABCC2; ABCC3",0.1389
"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol",3,0.506,4.628,2.39,0.008435,"NSDHL; MSMO1; FAXDC2",0.1389
"4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol",3,0.506,4.628,2.388,0.008469,"MSMO1; FAXDC2; NSDHL",0.1389
"4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol",3,0.506,4.628,2.379,0.008674,"MSMO1; FAXDC2; NSDHL",0.1413
"(13Z,16Z)-docosadienoic acid",23,0.225,8.595,2.369,0.008929,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.143
"(6Z,9Z,12Z,15Z,18Z)-TPA",23,0.225,8.595,2.366,0.008995,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.143
"(9Z,12Z,15Z,18Z)-TTA",23,0.225,8.595,2.366,0.009002,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.143
"taurine",5,0.763,5.217,2.365,0.009023,"BAAT; SLC6A6; SLC36A1; CSAD; FMO1",0.143
"sarcosine",6,-0.47,5.465,2.362,0.009093,"SARDH; PIPOX; GNMT; DMGDH; PDPR; TPP1",0.1432
"12,15,18,21-tetracosatetraenoic acid",23,0.225,8.595,2.356,0.009238,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1445
"13,16,19-docosatrienoic acid",23,0.225,8.595,2.353,0.009302,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1446
"Taurohyocholic acid; N-(3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oyl)taurine",9,-0.341,6.203,2.345,0.009509,"CYP3A4; ABCB11; ABCC2; ABCC3; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1451
"3-dehydro-Deoxycholate",9,-0.341,6.203,2.343,0.009572,"ABCB11; ABCC2; ABCC3; CYP3A4; SLC51A; SLCO1B1; SLCO1B3; SLC51B",0.1451
"thymine",3,0.359,4.545,2.343,0.009561,"DPYD; TYMP; SLC29A2",0.1451
"5-hydroxyindoleacetaldehyde",16,-0.237,7.532,2.342,0.00958,"ALDH1B1; ALDH2; ADHFE1; MAOA; MAOB; ALDH3A2; ALDH9A1; ALDH7A1",0.1451
"DPA",23,0.225,8.595,2.335,0.009766,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.147
"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol",3,0.506,4.628,2.328,0.009962,"MSMO1; FAXDC2; NSDHL",0.149
"Gal2-Xyl-L-Ser-[protein]",4,-0.206,4.839,2.325,0.01004,"B3GALT6; B3GAT2; B3GAT1; B3GAT3",0.1492
"(9Z,12Z,15Z,18Z,21Z)-TPA",23,0.225,8.595,2.322,0.01011,"SLC27A4; FABP7; SLC27A1; CD36; FABP5; FABP2; SLC27A3; FABP4",0.1493
"lipoamide",11,0.038,6.488,2.32,0.01017,"DHTKD1; OGDH; DLST; DLD; BCKDHA; DBT; BCKDHB; PDHB",0.1493
"trimethylamine",5,0.515,5.095,2.317,0.01024,"FMO4; FMO1; FMO3; FMO5; FMO2",0.1494
"dimethylglycine",5,-0.421,5.142,2.315,0.01031,"BHMT2; BHMT; DMGDH; PDPR; SARDH",0.1495
"folate",13,0.009,6.936,2.312,0.01039,"SLC19A1; DHFR2; DHFR; FOLR2; SLC46A1; ABCC5; ABCC1; ABCC2",0.1497
"N-acetylneuraminate",11,0.154,6.624,2.284,0.01118,"NEU1; NEU3; NEU4; NANP; CMAS; SLC17A5; GALNS; GLB1",0.1602
"lactaldehyde",16,0.225,7.435,2.277,0.01139,"AKR1B1; AKR1B10; ALDH9A1; ALDH3A2; ALDH7A1; ALDH3A1; ALDH3B1; ALDH1B1",0.1621
"phosphatidate-LD-PE pool",20,0.232,8.009,2.273,0.01153,"AGPAT4; AGPAT2; MBOAT1; AGPAT3; AGPAT1; AGPAT5; ABHD5; MBOAT2",0.1621
"keratan sulfate I, degradation product 3",5,0.263,5.081,2.272,0.01153,"ENGASE; NEU1; GALNS; GLB1; CTSA",0.1621
