"Metabolite","Neighbor_Genes_Count","Mean_Log2FC","Z_Raw","Reporter_Z_Score","Pvalue","Neighbor_Genes","Padj"
"phenylalanine",42,0.066,9.071,0.604,0.2728,"GOT2; TAT; ACE2; CMA1; DDC; SLC36A1; SLC43A1; SLC7A7",0.7707
"glycolithocholate",6,-0.304,3.747,0.599,0.2745,"BAAT; SULT2A1; STS; SLC10A1; SLCO1B3; SLCO1A2",0.7743
"1-acylglycerol-3P pool",15,0.087,5.7,0.597,0.2753,"GPAT4; GPAT2; GPAT3; GPAM; AGPAT4; AGPAT2; MBOAT1; AGPAT3",0.775
"nicotinamide D-ribonucleotide",14,-0.103,5.525,0.596,0.2754,"NMNAT3; NMNAT2; NAMPT; NUDT12; ACP3; NT5C3A; NT5M; NT5C2",0.775
"5(S)-HPETE",9,0.337,4.529,0.592,0.277,"ALOX5; GPX3; GPX8; PRDX6; GPX2; GPX4; GPX1; GPX7",0.7786
"1-pyrroline-5-carboxylate",6,-0.105,3.797,0.589,0.278,"ALDH4A1; PYCR3; PYCR2; PYCR1; PRODH2; PRODH",0.7795
"phosphatidate-CL pool",11,0.16,4.888,0.589,0.2781,"AGPAT4; AGPAT2; MBOAT1; AGPAT3; AGPAT1; AGPAT5; ABHD5; MBOAT2",0.7795
"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA",46,0.171,9.512,0.588,0.2783,"FADS2; SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6",0.7795
"tyrosine",41,0.094,8.976,0.586,0.2789,"SLC43A1; SLC7A7; SLC7A5; SLC3A2; SLC36A1; SLC16A10; SLC7A8; YARS1",0.7803
"calcitriol",5,0.383,3.525,0.584,0.2797,"CUBN; LRP2; GC; CD36; SCARB1",0.7816
"3-hydroxy S-ibuprofen",7,-0.59,4.035,0.581,0.2807,"UGT1A3; UGT1A9; UGT2B7; CYP2C9; CYP2C19; CYP3A4; CYP2C8",0.7821
"N1-acetylspermine",4,-0.016,3.183,0.58,0.2809,"SAT2; SAT1; SMOX; PAOX",0.7821
"retinal",22,-0.086,6.73,0.58,0.281,"RDH10; RDH11; DHRS9; RDH12; DHRS3; RDH5; ADH4; ADH5",0.7821
"GDP-L-fucose",11,0.184,4.92,0.579,0.2812,"FUT1; FUT2; FUT3; FUT6; FUT5; FUT9; FUT4; GFUS",0.7821
"Hexadecanediocacid",3,-0.207,2.84,0.577,0.2819,"ACSL5; ADH5; ALDH3A2",0.7831
"2-hydroxy-S-ibuprofen",7,-0.59,4.035,0.574,0.283,"UGT1A3; UGT1A9; UGT2B7; CYP2C9; CYP2C19; CYP3A4; CYP2C8",0.7853
"N-acetylgalactosamine",10,0.239,4.688,0.571,0.2839,"HEXB; HEXD; HEXA; NAGA; HYAL4; HYAL2; HYAL1; HYAL3",0.7868
"IDP",20,0.211,6.48,0.569,0.2846,"UCK2; UCK1; ENTPD3; ENTPD1; ENTPD8; NME4; NME1; NME2",0.7878
"phosphopantetheine",8,-0.063,4.269,0.568,0.2849,"PANK1; PANK3; PANK2; PPCDC; COASY; ENPP3; ENPP1; PANK4",0.7878
"chondroitin sulfate B - dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2",8,0.144,4.33,0.564,0.2863,"HEXB; HYAL4; HEXD; HYAL2; HYAL1; HEXA; HYAL3; IDS",0.7907
"(5-L-glutamyl)-L-amino acid",6,0.299,3.733,0.561,0.2873,"GGT1; GGT7; GGT6; GGT5; GGCT; GGACT",0.7922
"monosialylgalactosylgloboside",4,-0.171,3.145,0.561,0.2875,"ST3GAL1; ST3GAL4; ST3GAL2; ST8SIA1",0.7922
"3'-hydroxy-simvastatin-lactone form",5,-0.388,3.436,0.56,0.2879,"PON3; CYP3A5; CYP3A4; CYP2C8; CYP2D6",0.7924
"myristoyl-CoA",44,0.07,9.236,0.553,0.29,"SLC27A2; ACSL1; ACSL3; ACSL5; ACSBG2; ACSL4; ACSL6; ACSBG1",0.7972
"chloride",30,0.195,7.706,0.552,0.2904,"SLC26A6; SLC4A10; SLC4A8; SLC6A6; LPO; PRDX6; MPO; SLC12A2",0.7974
"PE-LD pool",39,0.105,8.814,0.55,0.291,"FITM2; PLIN2; FITM1; BSCL2; PLIN1; PLIN3; PLIN4; CEPT1",0.7982
"em3gacpail heparan sulfate",4,-0.135,3.184,0.549,0.2916,"PIGO; PIGG; PIGF; PIGN",0.7989
"sulfate",33,0.1,8.124,0.545,0.2928,"ARSD; ARSL; ARSA; STS; SLC26A11; SLC26A2; SLC26A8; SLC26A1",0.8012
