"gs_name","gs_description","drug_name"
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN","Genes down-regulated in MDA-MB-231 cells (breast cancer, mutated TP53 [GeneID=7157]) undergoing aberrant mitosis and necrosis after treatment with 2 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP","Genes up-regulated in MDA-MB-231 cells (breast cancer, mutated TP53 [GeneID=7157]) undergoing aberrant mitosis and necrosis after treatment with 2 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN","Genes down-regulated in MCF7 cells (breast cancer, normal TP53 [GeneID=7157]) undergoing aberrant mitosis and necrosis after treatment wiht 4 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_UP","Genes up-regulated in MCF7 cells (breast cancer, normal TP53 [GeneID=7157]) undergoing aberrant mitosis and necrosis after treatment wiht 4 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN","Genes down-regulated in MCF7 cells (breast cancer, normal TP53 [GeneID=7157]) undergoing mitotic arrest and apoptosis after treatment with 100 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP","Genes up-regulated in MCF7 cells (breast cancer, normal TP53 [GeneID=7157]) undergoing mitotic arrest and apoptosis after treatment with 100 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN","Genes down-regulated in MDA-MB-231 cells (breast cancer, mutated TP53 [GeneID=7157]) undergoing mitotic arrest and apoptosis after treatment with 100 nM docetaxel [PubChem=148124].","docetaxel"
"HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP","Genes up-regulated in MDA-MB-231 cells (breast cancer, mutated TP53 [GeneID=7157]) undergoing mitotic arrest and apoptosis after treatment with 100 nM docetaxel [PubChem=148124].","docetaxel"
"HOLLEMAN_DAUNORUBICIN_ALL_DN","Genes distinguishing daunorubicin [PubChem=30323] resistant and sensitive ALL (B- and T-lineage ALL); here - genes down-regulated in the drug resistant samples.","daunorubicin"
"HOLLEMAN_DAUNORUBICIN_ALL_UP","Genes distinguishing daunorubicin [PubChem=30323] resistant and sensitive ALL (B- and T-lineage ALL); here - genes up-regulated in the drug resistant samples.","daunorubicin"
"HOLLEMAN_DAUNORUBICIN_B_ALL_DN","Genes distinguishing daunorubicin [PubChem=30323] resistant and sensitive B-lineage ALL; here - genes down-regulated in the drug resistant samples.","daunorubicin"
"HOLLEMAN_DAUNORUBICIN_B_ALL_UP","Genes distinguishing daunorubicin [PubChem=30323] resistant and sensitive B-lineage ALL; here - genes up-regulated in the drug resistant samples.","daunorubicin"
"HOLLEMAN_PREDNISOLONE_RESISTANCE_ALL_DN","Genes distinguishing prednisolone [PubChem=5755] resistant and sensitive ALL (B- and T-lineage ALL); here - genes down-regulated in the drug resistant samples.","prednisolone"
"HOLLEMAN_PREDNISOLONE_RESISTANCE_ALL_UP","Genes distinguishing prednisolone [PubChem=5755] resistant and sensitive ALL (B- and T-lineage ALL); here - genes up-regulated in the drug resistant samples.","prednisolone"
"HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_DN","Genes distinguishing prednisolone [PubChem=5755] resistant and sensitive B-lineage ALL; here - genes down-regulated in the drug resistant samples.","prednisolone"
"HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP","Genes distinguishing prednisolone [PubChem=5755] resistant and sensitive B-lineage ALL; here - genes up-regulated in the drug resistant samples.","prednisolone"
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN","Genes distinguishing vincristine [PubChem=5978] resistant and sensitive ALL (B- and T-lineage ALL); here - genes down-regulated in the drug resistant samples.","vincristine"
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_UP","Genes distinguishing vincristine [PubChem=5978] resistant and sensitive ALL (B- and T-lineage ALL); here - genes up-regulated in the drug resistant samples.","vincristine"
"HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN","Genes distinguishing vincristine [PubChem=5978] resistant and sensitive B-lineage ALL; here - genes down-regulated in the drug resistant samples.","vincristine"
"HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_UP","Genes distinguishing vincristine [PubChem=5978] resistant and sensitive B-lineage ALL; here - genes up-regulated in the drug resistant samples.","vincristine"
"HONMA_DOCETAXEL_RESISTANCE","Genes up-regulated in MCF7-ADR cell line (breast cancer) resistant to docetaxel [PubChem=148124].","docetaxel"
"HUANG_DASATINIB_RESISTANCE_DN","Genes whose expression negatively correlated with resistance of breast cancer cell lines to dasatinib [PubChem=3062316].","dasatinib"
"HUANG_DASATINIB_SENSITIVITY_UP","Genes whose expression positively correlated with sensitivity of breast cancer cell lines to dasatinib [PubChem=3062316].","dasatinib"
"HUMMERICH_BENIGN_SKIN_TUMOR_DN","Genes down-regulated in benign skin tumors (papilloma) induced by treatment with DMBA and TPA [PubChem=6001;4792] chemicals in the two stage skin carcinogenesis model.","tpa"
"HUMMERICH_BENIGN_SKIN_TUMOR_UP","Genes up-regulated in benign skin tumors (papilloma) induced by treatment with DMBA and TPA [PubChem=6001;4792] chemicals in the two stage skin carcinogenesis model.","tpa"
"HUMMERICH_MALIGNANT_SKIN_TUMOR_DN","Genes down-regulated in malignant skin tumors (squamous cell carcinoma, SCC) formed by treatment with DMBA and TPA [PubChem=6001;4792] in the two stage skin carcinogenesis model.","tpa"
"HUMMERICH_MALIGNANT_SKIN_TUMOR_UP","Genes up-regulated in malignant skin tumors (squamous cell carcinoma, SCC) formed by treatment with DMBA and TPA [PubChem=6001;4792] in the two stage skin carcinogenesis model.","tpa"
"HUMMERICH_SKIN_CANCER_PROGRESSION_DN","Selected genes down-regulated during progression through benign to malignant skin tumors formed by treatment with DMBA and TPA [PubChem=6001;4792] chemicals in the two stage skin carcinogenesis model.","tpa"
"HUMMERICH_SKIN_CANCER_PROGRESSION_UP","Selected genes up-regulated during progression through benign to malignant skin tumors formed by treatment with DMBA and TPA [PubChem=6001;4792] chemicals in the two stage skin carcinogenesis model.","tpa"
"HU_GENOTOXIC_DAMAGE_24HR","Genes most consistently regulated at 24 h by all six genotoxins tested: cisplatin, methyl methanesulfonate, mitomycin C, taxol, hydroxyurea and etoposide [PubChem=2767;4156;5746;4666;3657;36462].","etoposide"
"HU_GENOTOXIC_DAMAGE_4HR","Genes most consistently regulated at 4 h by all six genotoxins tested: cisplatin, methyl methanesulfonate, mitomycin C, taxol, hydroxyurea and etoposide [PubChem=2767;4156;5746;4666;3657;36462].","etoposide"
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR","Genes discriminating between direct (cisplatin, MMS, mitomycin C [PubChem=2767;4156;5746]) and indirect (paclitaxel, hydroxyurea, etoposide [PubChem=4666;3657;36462]) acting genotoxins at 24 h time point.","etoposide"
"HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR","Genes discriminating between direct (cisplatin, MMS, mitomycin C [PubChem=2767;4156;5746]) and indirect (paclitaxel, hydroxyurea, etoposide [PubChem=4666;3657;36462]) acting genotoxins at 4 h time point.","etoposide"
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_DN","Genes down-regulated in H460 cells (non-small cell lung carcinoma, NSCLC) after treatment with sodium butyrate [PubChem=5222465].","butyrate"
"JOSEPH_RESPONSE_TO_SODIUM_BUTYRATE_UP","Genes up-regulated in H460 cells (non-small cell lung carcinoma, NSCLC) after treatment with sodium butyrate [PubChem=5222465].","butyrate"
"KANG_CISPLATIN_RESISTANCE_DN","Genes down-regulated in gastric cancer cell lines resistant to cisplatin [PubChem=2767].","cisplatin"
"KANG_CISPLATIN_RESISTANCE_UP","Genes up-regulated in gastric cancer cell lines resistant to cisplatin [PubChem=2767].","cisplatin"
"KANG_DOXORUBICIN_RESISTANCE_DN","Genes down-regulated in gastric cancer cell lines: doxorubicin [PubChem=31703] resistant vs sensitive.","doxorubicin"
"KANG_DOXORUBICIN_RESISTANCE_UP","Genes up-regulated in gastric cancer cell lines: doxorubicin [PubChem=31703] resistant vs sensitive.","doxorubicin"
"KANG_FLUOROURACIL_RESISTANCE_DN","Genes down-regulated in gastric cancer cell lines resistant to 5-fluorouracil [PubChem=3385].","5-fluorouracil"
"KANG_FLUOROURACIL_RESISTANCE_UP","Genes up-regulated in gastric cancer cell lines resistant to 5-fluorouracil [PubChem=3385].","5-fluorouracil"
"KAN_RESPONSE_TO_ARSENIC_TRIOXIDE","Genes changed in U373-MG cells (malignant glioma) upon treatment with arsenic trioxide [PubChem=14888], a chemical that can cause autophagic cell death.","trioxide"
"KERLEY_RESPONSE_TO_CISPLATIN_DN","Genes genes down-regulated in NT2/D1 cells (embryonal carcinoma) in response to treatment with cisplatin [PubChem=2767].","cisplatin"
"KERLEY_RESPONSE_TO_CISPLATIN_UP","Genes genes up-regulated in NT2/D1 cells (embryonal carcinoma) in response to treatment with cisplatin [PubChem=2767].","cisplatin"
"KIM_GASTRIC_CANCER_CHEMOSENSITIVITY","Genes up-regulated in gastric cancer patients refractory to chemotherapy treatment with 5-fluorouracil and cisplatin [PubChem=3385;2767] compared to the sensitive state.","cisplatin"
"KIM_RESPONSE_TO_TSA_AND_DECITABINE_DN","Genes down-regulated in glioma cell lines treated with both decitabine [PubChem=451668] and TSA [PubChem=5562].","tsa"
"KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP","Genes up-regulated in glioma cell lines treated with both decitabine [PubChem=451668] and TSA [PubChem=5562].","tsa"
"KOBAYASHI_EGFR_SIGNALING_24HR_DN","Genes down-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 24h.","cl-387785"
"KOBAYASHI_EGFR_SIGNALING_24HR_UP","Genes up-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 24h.","cl-387785"
"KOBAYASHI_EGFR_SIGNALING_6HR_DN","Genes down-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 6h.","cl-387785"
"KOBAYASHI_EGFR_SIGNALING_6HR_UP","Genes up-regulated in H1975 cells (non-small cell lung cancer, NSCLC) resistant to gefitinib [PubChem=123631] after treatment with EGFR inhibitor CL-387785 [PubChem=2776] for 6h.","cl-387785"
"KOBAYASHI_RESPONSE_TO_ROMIDEPSIN","Genes up-regulated in MM-LH cells (malignant melanoma) after treatment with the HDAC inhibitor romidepsin (FK228) [PubChem=5352062].","(fk228)"
"KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN","Genes down-regulated in MEWO cells (melanoma) after 48h of methionine [PubChem=876] deprivation.","methionine"
"KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP","Genes up-regulated in MEWO cells (melanoma) after 48h of methionine [PubChem=876] deprivation.","methionine"
"KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_DN","Genes down-regulated in MEWO cells (melanoma) after 96 h of methionine [PubChem=876] deprivation.","methionine"
"KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP","Genes up-regulated in MEWO cells (melanoma) after 96 h of methionine [PubChem=876] deprivation.","methionine"
"KRIGE_AMINO_ACID_DEPRIVATION","The 'amino acid deprivation response' (AADR): genes up-regulated in HL-60 cells (acute promyelocytic leukemia, APL) after amino acid deprivation or treatment with the aminopeptidase inhibitor tosedostat (CHR-2797) [PubChem=15547703].","(chr-2797)"
"KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_DN","Genes down-regulated in HL-60 cells (acute promyelocytic leukemia, APL) after treatment with the aminopeptidase inhibitor tosedostat (CHR-2797) [PubChem=15547703] for 24 h.","(chr-2797)"
"KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP","Genes up-regulated in HL-60 cells (acute promyelocytic leukemia, APL) after treatment with the aminopeptidase inhibitor tosedostat (CHR-2797) [PubChem=15547703] for 24 h.","(chr-2797)"
"KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_DN","Genes down-regulated in HL-60 cells (acute promyelocytic leukemia, APL) after treatment with the aminopeptidase inhibitor tosedostat (CHR-2797) [PubChem=15547703] for 6 h.","(chr-2797)"
"KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP","Genes up-regulated in HL-60 cells (acute promyelocytic leukemia, APL) after treatment with the aminopeptidase inhibitor tosedostat (CHR-2797) [PubChem=15547703] for 6 h.","(chr-2797)"
"KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN","Genes down-regulated in response to nutlin-3a [PubChem=216345], an inhibitor of MDM2 [GeneID=4193],  in skin fibroblast cultures after knockdown of TP53 [GeneID=7157] by RNAi.","nutlin-3a"
"KUMAMOTO_RESPONSE_TO_NUTLIN_3A_UP","Genes up-regulated in response to nutlin-3a [PubChem=216345], an inhibitor of MDM2 [GeneID=4193],  in skin fibroblast cultures after knockdown of TP53 [GeneID=7157] by RNAi.","nutlin-3a"
"KUWANO_RNA_STABILIZED_BY_NO","Transcripts stabilized by NO [PubChem=145068] identified as up-regulated by NO [PubChem=145068] in the presence of actinomycin D [PubChemiD=2019] in IMR-90 and NIH 3T3 cells (fibroblast).","no"
"KYNG_RESPONSE_TO_H2O2","Genes up-regulated in response to hydrogen peroxide [PubChem=784] in CS-B cells (Cockayne syndrome fibroblast, CS) expressing ERCC6 [GeneID=2074] off a plasmid vector.","peroxide"
"KYNG_RESPONSE_TO_H2O2_VIA_ERCC6","Genes down-regulated in CS-B cells (Cockayne syndrome fibroblast, CS) with defficient ERCC6 [GeneID=2074] in response to hydrogen peroxide [PubChem=784].","peroxide"
"KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_DN","Genes down-regulated in response to hydorgen peroxyde [PubChem=784] in CS-B cells (Cockaine syndrome fibroblast, CS) with defficient ERCC6 [GeneID=2074].","peroxyde"
"KYNG_RESPONSE_TO_H2O2_VIA_ERCC6_UP","Genes up-regulated in response to hydorgen peroxyde [PubChem=784] in CS-B cells (Cockaine syndrome fibroblast, CS) with defficient ERCC6 [GeneID=2074].","peroxyde"
"LEE_LIVER_CANCER_CIPROFIBRATE_DN","Genes down-regulated in hepatocellular carcinoma (HCC) induced by ciprofibrate [PubChem=2763].","ciprofibrate"
"LEE_LIVER_CANCER_CIPROFIBRATE_UP","Genes up-regulated in hepatocellular carcinoma (HCC) induced by ciprofibrate [PubChem=2763].","ciprofibrate"
"LEE_LIVER_CANCER_DENA_DN","Genes down-regulated in hepatocellular carcinoma (HCC) induced by diethylnitrosamine (DENA) [PubChem=5921].","(dena)"
"LEE_LIVER_CANCER_DENA_UP","Genes up-regulated in hepatocellular carcinoma (HCC) induced by diethylnitrosamine (DENA) [PubChem=5921].","(dena)"
"LE_NEURONAL_DIFFERENTIATION_DN","Genes down-regulated during neuronal differentiation of SH-SY5Y cells (neuroblastoma) in response to stimulation by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] and BDNF [GeneID=627].","atra)"
"LE_NEURONAL_DIFFERENTIATION_UP","Genes up-regulated during neuronal differentiation of SH-SY5Y cells (neuroblastoma) in response to stimulation by tretinoin (all-trans retinoic acid, ATRA) [PubChem=444795] and BDNF [GeneID=627].","atra)"
"LIANG_SILENCED_BY_METHYLATION_2","Genes up-regulated in T24 cells (bladder carcinoma) after treatment with decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"LIANG_SILENCED_BY_METHYLATION_DN","Genes down-regulated in LD419 cells (fibroblast) after treatment with decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"LIANG_SILENCED_BY_METHYLATION_UP","Genes up-regulated in LD419 cells (fibroblast) after treatment with decitabine (5-aza-2'-deoxycytidine) [PubChem=451668].","(5-aza-2'-deoxycytidine)"
"LI_ADIPOGENESIS_BY_ACTIVATED_PPARG","Adipocyte genes induced in 3T3-L1 cells (adipocyte) by constitutively active PPARG [GeneID=5468] or its agonist, TZD [PubChem=5437].","tzd"
"LI_CISPLATIN_RESISTANCE_DN","Genes consistently down-regulated in ACRP cells (ovarian cancer, resistant to cisplatin [PubChem=2767]) compared to the parental sensitive A2780 cells, regardless of cisplatin exposure.","cisplatin"
"LI_CISPLATIN_RESISTANCE_UP","Genes consistently up-regulated in ACRP cells (ovarian cancer, resistant to cisplatin [PubChem=2767]) compared to the parental sensitive A2780 cells, regardless of cisplatin exposure.","cisplatin"
"LI_CYTIDINE_ANALOGS_CYCTOTOXICITY","Genes whose expression in a panel of lymphoblastoid cell lines was associated with cytotoxicity of the anti-cancer analogs of cytidine, gemcitabine and cytarabine [PubChem=596;3461;6253].","cytarabine"
"LI_CYTIDINE_ANALOG_PATHWAY","The 'cytidine analog pathway': genes involved in transport and metabolism of the anti-cancer analogs of cytidine: gemcitabine and cytarabine [PubChem=596;3461;6253].","cytarabine"
"LUDWICZEK_TREATING_IRON_OVERLOAD","Genes changed in liver in response to nifedipine [PubChem=4485] treatment of iron overload.","nifedipine"
"LUND_SILENCED_BY_METHYLATION","Genes up-regulated in FE-8 cells (fibroblasts) upon treatment with azacitidine [PubChem=9444].","azacitidine"
"MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH","Genes up-regulated in the GIST (gastrointestinal stromal tumor) cell line resistant to imatinib [PubChem=5291] that may correlate with the morphological switch in these cells.","imatinib"
"MAHADEVAN_IMATINIB_RESISTANCE_DN","Top genes down-regulated in the GIST (gastrointestinal stromal tumor) cell line resistant to imatinib [PubChem=5291] compared to the parental cell line sensitive to the drug.","imatinib"
"MAHADEVAN_IMATINIB_RESISTANCE_UP","Top genes up-regulated in the GIST (gastrointestinal stromal tumor) cell line resistant to imatinib [PubChem=5291] compared to the parental cell line sensitive to the drug.","imatinib"
"MALIK_REPRESSED_BY_ESTROGEN","Genes consistently and robustly repressed by estradiol [PubChem=5757] in MCF7 cells (breast cancer); this reperession was prevented by fulvestrant [PubChem=3478439].","fulvestrant"
"MALONEY_RESPONSE_TO_17AAG_DN","Down-regulated genes in A2780 cells (ovarian cancer) treated with 17AAG [PubChem=6440175], a chemical with anticancer properties.","17aag"
"MALONEY_RESPONSE_TO_17AAG_UP","Up-regulated genes in A2780 cells (ovarian cancer) treated with 17AAG [PubChem=6440175], a chemical with anticancer properties.","17aag"
"MANN_RESPONSE_TO_AMIFOSTINE_DN","Genes down-regulated in HCT116 cells (colon cancer) after treatment with amifostine [PubChem=2141] depending on the presence of TP53 [GeneID=7157]: TP53-positive vs TP53-null cells.","amifostine"
"MANN_RESPONSE_TO_AMIFOSTINE_UP","Genes up-regulated in HCT116 cells (colon cancer) after treatment with amifostine [PubChem=2141] depending on the presence of TP53 [GeneID=7157]: TP53-positive vs TP53-null cells.","amifostine"
"MARCHINI_TRABECTEDIN_RESISTANCE_DN","Genes down-regulated in chondrosarcoma and ovarian carcinoma cell lines which developed resistance to trabectedin [PubChem=3199].","trabectedin"
"MARCHINI_TRABECTEDIN_RESISTANCE_UP","Genes up-regulated in chondrosarcoma and ovarian carcinoma cell lines which developed resistance to trabectedin [PubChem=3199].","trabectedin"
"MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP","Endoplasmic retuculum (ER) stress response (caused by  tunicamycin [PubChem=5282055]) genes dependent on CHOP [GeneID=13198].","tunicamycin"
"MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN","Cluster 10: genes down-regulated in SW260 cells (colon cancer) by sodium butyrate and TSA [PubChem=5222465;5562] with the same kinetics with which each alters the level of histone H4 acetylation.","tsa"
"MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_UP","Cluster 9: genes up-regulated in SW260 cells (colon cancer) by sodium butyrate and TSA [PubChem=5222465;5562] with the same kinetics with which each alters the level of histone H4 acetylation.","tsa"
"MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_1","Cluster 1: genes up-regulated in SW260 cells (colon cancer) by sodium butyrate, curcumin, sulindac and TSA [PubChem=5222465;969516;5352;5562].","tsa"
"MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_2","Cluster 2: genes up-regulated in SW260 cells (colon cancer) by sodium butyrate, curcumin, sulindac and TSA [PubChem=5222465;969516;5352;5562].","tsa"
"MARIADASON_RESPONSE_TO_BUTYRATE_CURCUMIN_SULINDAC_TSA_8","Cluster 8: genes down-regulated in SW260 cells (colon cancer) by sodium butyrate, curcumin, sulindac and TSA [PubChem=5222465;969516;5352;5562].","tsa"
"MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4","Cluster 4: genes down-regulated in SW260 cells (colon cancer) by sodium butyrate and sulindac [PubChem=5222465;5352].","sulindac"
"MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_6","Cluster 6: genes down-regulated in SW260 cells (colon cancer) by sodium butyrate and sulindac [PubChem=5222465;5352].","sulindac"
"MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_5","Cluster 5: genes up-regulated in SW260 cells (colon cancer) by curcumin and sulindac [PubChem=969516;5352].","sulindac"
"MARIADASON_RESPONSE_TO_CURCUMIN_SULINDAC_7","Cluster 7: genes up-regulated in SW260 cells (colon cancer) by curcumin and sulindac [PubChem=969516;5352].","sulindac"
"MARSON_BOUND_BY_FOXP3_STIMULATED","Genes with promoters bound by FOXP3 [GeneID=50943] in hybridoma cells stimulated by PMA [PubChem=4792] and ionomycin [PubChem=3733].","ionomycin"
"MARSON_FOXP3_TARGETS_STIMULATED_DN","Genes with promoters bound by FOXP3 [GeneID=50943], dependent on it, and down-regulated in hybridoma cells stimulated by PMA [PubChem=4792] and ionomycin [PubChem=3733].","ionomycin"
"MARSON_FOXP3_TARGETS_STIMULATED_UP","Genes with promoters bound by FOXP3 [GeneID=50943], dependent on it, and up-regulated in hybridoma cells stimulated by PMA [PubChem=4792] and ionomycin [PubChem=3733].","ionomycin"
"MARTENS_TRETINOIN_RESPONSE_DN","Genes down-regulated in NB4 cells (acute promyelocytic leukemia, APL) in response to tretinoin [PubChem=444795]; based on Chip-seq data.","tretinoin"
"MARTENS_TRETINOIN_RESPONSE_UP","Genes up-regulated in NB4 cells (acute promyelocytic leukemia, APL) in response to tretinoin [PubChem=444795]; based on Chip-seq data.","tretinoin"
"MARTINEZ_RESPONSE_TO_TRABECTEDIN","Genes down-regulated by trabectedin [PubChem=3199] and its synthetic analog phthalascidin Pt 650 in HCT116 cells (colon cancer).","trabectedin"
"MARTINEZ_RESPONSE_TO_TRABECTEDIN_DN","Genes down-regulated in at least 8 of 11 sarcoma cell lines by trabectedin [PubChem=3199].","trabectedin"
"MARTINEZ_RESPONSE_TO_TRABECTEDIN_UP","Genes up-regulated in at least 8 of 11 sarcoma cell lines by trabectedin [PubChem=3199].","trabectedin"
"MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN","Genes down-regulated in derivatives of MCF-7aro cells (breast cancer) that developed resistance to tamoxifen [PubChem=5376] or  inhibitors of aromatase (CYP19A1) [GeneID=1588].","tamoxifen"
"MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP","Genes up-regulated in derivatives of MCF-7aro cells (breast cancer) that developed resistance to tamoxifen [PubChem=5376] or  inhibitors of aromatase (CYP19A1) [GeneID=1588].","tamoxifen"
"MASSARWEH_RESPONSE_TO_ESTRADIOL","Genes rapidly up-regulated in breast cancer cell cultures by estradiol [PubChem=5757].","estradiol"
"MASSARWEH_TAMOXIFEN_RESISTANCE_DN","Genes down-regulated in breast cancer tumors (formed by MCF-7 xenografts) resistant to tamoxifen [PubChem=5376].","tamoxifen"
"MASSARWEH_TAMOXIFEN_RESISTANCE_UP","Genes up-regulated in breast cancer tumors (formed by MCF-7 xenografts) resistant to tamoxifen [PubChem=5376].","tamoxifen"
"MAYBURD_RESPONSE_TO_L663536_DN","Genes down-regulated in H720 cells (lung cancer) after treatment with L663536 (MK886) [PubChem=105049], an inhibitor of leukotriene biosynthesis.","(mk886)"
"MAYBURD_RESPONSE_TO_L663536_UP","Genes up-regulated in H720 cells (lung cancer) after treatment with L663536 (MK886) [PubChem=105049], an inhibitor of leukotriene biosynthesis.","(mk886)"
"MA_MYELOID_DIFFERENTIATION_DN","Genes down-regulated during myeloid differentiation induced by tretinoin (ATRA) [PubChem=444795] and IL3 [GeneID=3652] in the EML cell line (myeloid progenitor).","(atra)"
"MA_MYELOID_DIFFERENTIATION_UP","Genes up-regulated during myeloid differentiation induced by tretinoin (ATRA) [PubChem=444795] and IL3 [GeneID=3652] in the EML cell line (myeloid progenitor).","(atra)"
"MCCLUNG_COCAINE_REWARD_5D","Genes up-regulated in the nucleus accumbens (a major reward center in the brain) after 5 days of cocaine [PubChem=5760] treatment.","cocaine"
"MCCLUNG_COCAIN_REWARD_4WK","Genes up-regulated in the nucleus accumbens (a major reward center in the brain) after 4 weeks of cocaine [PubChem=5760] treatment.","cocaine"
"MCCOLLUM_GELDANAMYCIN_RESISTANCE_DN","Genes down-regulated in A549GARS cells (lung cancer) resistant to the geldanamycin and 17-AAG [PubChem=5476289;6440175].","17-aag"
"MCCOLLUM_GELDANAMYCIN_RESISTANCE_UP","Genes up-regulated in A549GARS cells (lung cancer) resistant to the geldanamycin and 17-AAG [PubChem=5476289;6440175].","17-aag"
"MCDOWELL_ACUTE_LUNG_INJURY_DN","Genes down-regulated in the mouse model of acute lung injury induced by inhaling nickel sulfate [PubChem=24586].","sulfate"
"MCDOWELL_ACUTE_LUNG_INJURY_UP","Genes up-regulated in the mouse model of acute lung injury induced by inhaling nickel sulfate [PubChem=24586].","sulfate"
"MIKHAYLOVA_OXIDATIVE_STRESS_RESPONSE_VIA_VHL_DN","Proteins significantly repressed by oxidative stress (hydrogen peroxide [PubChem=784] in 786-O cells (renal clear cell carcinoma, RCC) expressing VHL [GeneID=7428].","peroxide"
"MIKHAYLOVA_OXIDATIVE_STRESS_RESPONSE_VIA_VHL_UP","Proteins significantly induced by oxidative stress (hydrogen peroxide [PubChem=784] in 786-O cells (renal clear cell carcinoma, RCC) expressing VHL [GeneID=7428].","peroxide"
"MILI_PSEUDOPODIA","Transcripts significantly enriched in pseudopodia of NIH/3T3 cells (fibroblast) in response to both chemotactic (lysophosphatidic acid, LPA [PubChem=3988]) and haptotactic (fibronectin, FN1 [GeneID=2335) migratory stimuli.","lpa"
"MILI_PSEUDOPODIA_CHEMOTAXIS_DN","Transcripts depleted in pseudopodia of NIH/3T3 cells (fibroblast) in response to the chemotactic migration stimulus by lysophosphatidic acid (LPA) [PubChem=3988].","(lpa)"
"MILI_PSEUDOPODIA_CHEMOTAXIS_UP","Transcripts enriched in pseudopodia of NIH/3T3 cells (fibroblast) in response to the chemotactic migration stimulus by lysophosphatidic acid (LPA) [PubChem=3988].","(lpa)"
"MISSIAGLIA_REGULATED_BY_METHYLATION_DN","Genes down-regulated in PaCa44 and CFPAC1 cells (pancreatic cancer) after treatment with decitabine [PubChem=451668], a DNA hypomethylating agent similar to azacitidine [PubChem=9444].","azacitidine"
"MISSIAGLIA_REGULATED_BY_METHYLATION_UP","Genes up-regulated in PaCa44 and CFPAC1 cells (pancreatic cancer) after treatment with decitabine [PubChem=451668], a DNA hypomethylating agent similar to azacitidine [PubChem=9444].","azacitidine"
