"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig","neg_log10_padj"
"ENSG00000267683",6.119437,-1.704913,1.069275,0.003651,0.020003,"Down",1.69891
"ENSG00000130222",12.610973,-1.283518,0.809958,0.003672,0.020077,"Down",1.697291
"ENSG00000270605",13.909864,-1.102221,0.625584,0.003674,0.020081,"Down",1.697208
"ENSG00000115468",11.251955,2.065999,1.268033,0.003796,0.020647,"Up",1.685152
"ENSG00000168079",406.535098,1.043586,0.748462,0.003837,0.020835,"Up",1.681213
"ENSG00000156453",14.748765,-1.23193,0.81898,0.003849,0.020884,"Down",1.680191
"ENSG00000213402",14.350775,1.079578,0.622892,0.003866,0.020966,"Up",1.67849
"ENSG00000132854",6.009338,-1.951169,1.408136,0.004047,0.021822,"Down",1.661113
"ENSG00000162894",22.445307,1.046999,0.651031,0.004342,0.023184,"Up",1.634803
"ENSG00000167653",14.92336,-1.319211,0.860434,0.004478,0.023836,"Down",1.622765
"ENSG00000164142",6.90575,1.486187,1.059068,0.004503,0.023929,"Up",1.62108
"ENSG00000182674",6.471964,-1.7413,1.230836,0.004822,0.025359,"Down",1.595876
"ENSG00000169129",10.248049,-1.252131,0.906967,0.004858,0.02551,"Down",1.593292
"ENSG00000102468",11.200152,-1.208697,0.948931,0.005352,0.027668,"Down",1.558026
"ENSG00000147041",11.123975,-1.237725,1.030046,0.00537,0.02772,"Down",1.557199
"ENSG00000111490",15.909949,-1.028948,0.771158,0.005443,0.02802,"Down",1.552537
"ENSG00000041515",10.131656,1.125567,0.794521,0.005474,0.028124,"Up",1.550928
"ENSG00000182732",5.223942,-1.640752,1.388469,0.005625,0.02878,"Down",1.540902
"ENSG00000211574",10.942176,-1.060475,0.760153,0.006389,0.031942,"Down",1.495639
"ENSG00000197046",4.93634,-1.436658,1.552916,0.008183,0.039139,"Down",1.407395
"ENSG00000225383",8.273885,1.019423,1.283594,0.008263,0.039417,"Up",1.404316
"ENSG00000204335",5.192603,-1.277589,2.366854,0.008433,0.040039,"Down",1.397518
"ENSG00000260807",9.290359,-1.001604,1.06269,0.00858,0.040596,"Down",1.391514
"ENSG00000172602",5.819759,1.107593,1.667944,0.009136,0.042824,"Up",1.36831
"ENSG00000171316",7.606552,1.031692,1.199907,0.009749,0.045054,"Up",1.346264
