"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.80398269115417e-80,2.23595803620432,0.311,0.046,1.53205278256718e-75,"18","BCO2"
0,12.2615473612795,0.28,0,0,"19","RP11-73G16.2"
0,10.8080966590509,0.698,0.001,0,"19","SCT"
0,10.0703745373923,0.344,0,0,"19","SHD"
0,9.97290858118112,0.646,0.001,0,"19","LRRC26"
0,9.91331121876129,0.677,0.001,0,"19","PTCRA"
0,12.3235900827861,0.61,0,0,"20","TPSD1"
0,12.305953614163,0.974,0.011,0,"20","TPSAB1"
0,12.1861563986897,0.974,0.015,0,"20","TPSB2"
0,11.7720559547014,0.351,0,0,"20","AC004791.2"
0,11.210849418947,0.935,0.001,0,"20","CPA3"
