"seurat_clusters","CD8+ T cells","CD8+ T cells (exhausted)","Cholangiocytes","Dendritic cells","Endothelial cells","gdT/NK cells","Hepatic stellate cells","Hepatocytes","Kupffer cells","LSEC","Mast cells","Monocytes","NK cells (cytotoxic)","NK cells (liver-resident)","NK/NKT cells","Plasma cells","Proliferating cells"
"0",0.38144186879326,0.62700616365757,0.569312514398425,0.624613210923416,0.925226851953736,0.860242131284546,0.702682631979378,1.35975822269826,0.678564012405322,1.21459845241755,1.03008987910185,0.813544116830071,0.63320800675283,0.645029674295324,0.586587527327104,0.824877928738845,0.750212166776666
"1",1.1599761988122,1.22654067130202,1.42432742619081,1.29888026805247,1.46961532714525,1.43982351881781,1.13971517308016,1.77934631951947,1.12565482100369,1.4016960119137,1.28739444970357,1.38925148973913,1.08406083476434,1.04755586474715,1.0093993639353,1.37781527593711,1.32575366574178
"2",0.391394529351512,0.647784570790266,0.629999086372534,0.626550875859153,0.872056433746899,0.858796401021365,0.682047608358246,1.36950375274251,0.636830201304095,1.0831625901808,1.00269609659072,0.827924194751709,0.666237254813038,0.647577284719877,0.614317205395236,0.735218175547619,0.787125072965022
"3",0.808994037827047,0.957085762804184,1.13649954804601,1.0607997885741,1.18889247116697,1.17183400628978,0.902573050481652,1.59076701811372,0.952197641783714,1.31219918950563,1.2192925345009,1.17094454460628,0.889697970105465,0.868919707918742,0.824484279264505,1.1098677825237,1.06429065103818
"4",0.361642094462784,0.533973663855258,0.544705577866619,0.516502529199643,0.60284760747834,0.690037659231913,0.569484559587125,1.19165901659965,0.507467258578238,0.85423968088186,0.850706190755688,0.655851720369838,0.552554673392496,0.532219696904994,0.510998967060571,0.56783487836346,0.632619673847844
"5",0.72850126746391,0.9750509429752,1.03693232018279,0.964636591930741,1.32461146057628,1.2721429490773,0.975407264903404,1.72465490606528,0.958107072234748,1.50154226095657,1.37388352209739,1.14266741255211,0.973814648222263,0.936461533236052,0.894211352045655,0.980820200684586,1.16838575182479
"6",0.585349044977433,0.847790301757348,0.817395518938667,0.85421875798868,1.09036622086628,1.10354068614806,0.823258275159027,1.62051927761343,0.877455559681891,1.37844996686765,1.2488018911059,1.0314288842346,0.831896620460107,0.824140482127326,0.771490833657222,0.88408492828923,0.989039083845388
"7",0.440037897843118,0.773841062611984,0.689917720074655,0.683489166515499,1.09659648440786,1.09416870070524,0.796702316272164,1.62318575166094,0.749183049131675,1.45466826468071,1.24910299038009,0.950537577836236,0.830877037731046,0.824463610651376,0.765097564177128,0.928234419886622,0.977453019729906
"8",0.20348526703419,0.595279110590182,0.4602870087124,0.485362691423378,1.0163252473625,0.903265714009206,0.809526796695523,1.48759322636346,0.621663053486183,1.31463322235937,1.10010802050862,0.817504012857489,0.661266328920023,0.678052561260616,0.61115240741135,0.853749084547256,0.783624509732507
"9",0.190951992361632,0.450158417227567,0.380403030131268,0.415080400815385,0.623940798263141,0.634128606491279,0.58461322806804,1.19127065566312,0.500028252423009,0.892247698389123,0.824670837554639,0.6132968570056,0.49682926238534,0.495625213769374,0.462021458306373,0.63542222965155,0.569919615227141
"10",0.263936631158301,0.546863256379754,0.534348684224478,0.495590676154258,0.748827866819987,0.790632421497072,0.600872991456518,1.38783851924831,0.545741400789722,1.04439380956627,1.0458711451905,0.735367027439621,0.615021056592038,0.601690404999786,0.562329669681452,0.669085774687761,0.72165366327447
"11",0.293025408848391,0.663138167130825,0.413017466879813,0.454815007248759,0.907967404950579,0.977101851149127,0.812547601336712,1.51767390570206,0.587737692978393,1.19207369911774,1.07874568195567,0.801703176422618,0.731067618163694,0.747965994503323,0.681204395607268,0.732345928157502,0.852657341276742
"12",0.285457404356116,0.45845754003855,0.427775314515613,0.426201755066095,0.562847472196959,0.580946916329257,0.504937603274815,1.16461216172596,0.405929618706526,0.78033218149506,0.763197395628001,0.55356059888054,0.465709192032554,0.457590549202624,0.434995691037854,0.482333707584688,0.530484686335803
"13",0.350461746428218,0.569510182242764,0.607078626205938,0.607964012958011,0.723990678274763,0.73500154961378,0.679717232565895,1.36102810045528,0.59730473147527,0.99098243347316,0.95892012895323,0.753156772249905,0.586008317581891,0.576576979941816,0.537953758893322,0.675294190257144,0.667135882267103
"14",0.44208621514242,0.651159897449892,0.624346830794016,0.596805796580775,0.799095255777324,0.872571454646176,0.644728111966738,1.4096561443049,0.62947989427157,1.04647975940576,0.958379867005921,0.773570402058066,0.673722637605723,0.658850825800568,0.618092157445943,0.713878401375104,0.784243575296902
"15",0.423589585088644,0.72976093892171,0.662171029038224,0.674659338815642,1.02538598810771,0.983314642545432,0.738503925272558,1.56174561366493,0.728966789290603,1.30271071517286,1.1389674709481,0.91958238170556,0.803772419398366,0.749038204865412,0.721478477999096,0.855394738849322,0.91404579523828
"16",0.565450894113585,0.83188529250542,0.82700962258521,0.836603007363297,1.05188902106374,1.0788559997159,0.820853149448678,1.57341793797721,0.762845611143053,1.42129022240424,1.23615945355922,0.992254161390799,0.855266489244964,0.807174173717166,0.778553442111765,0.758929671994781,0.996380235177749
"17",0.247451153760171,0.572529491110305,0.553448296608625,0.58083094911785,0.79698013395855,0.797655714268335,0.648365057215013,1.39146807142758,0.578905481623288,1.07941402684943,1.04313457237871,0.812582364501792,0.621382965898621,0.605459827055416,0.566467581920428,0.820563468145895,0.7238340357598
