"entrez_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"117283",190.87201099584,5.22024122134102,0.681701514399958,7.65766411115566,1.89345314182588e-14,2.92879331977627e-10,5.03507438486688,0.711686915719007,"IP6K3"
"25799",154.108303425539,-1.17087768470004,0.161888048242048,-7.23263821767373,4.73700117889148e-13,3.66359671175467e-09,-1.12553792763062,0.16302887757843,"ZNF324"
"9644",1308.06726917513,-1.33604201281746,0.195554002455703,-6.8320872804437,8.36879037148798e-12,4.3149483155392e-08,-1.27720963026854,0.196307421941821,"SH3PXD2A"
"151050",1555.12697897643,-0.552140131762383,0.0830574678327034,-6.6476879944681,2.97732587712107e-11,1.15133191668272e-07,-0.528217966948679,0.0840218302330855,"KANSL1L"
"9540",215.112340581449,2.0600212915385,0.311630242871157,6.61046653418109,3.83110721147054e-11,1.18519132694053e-07,1.95442787998555,0.328414500672353,"TP53I3"
"4775",2368.92193962479,-0.443020389861801,0.0703530413187902,-6.29710360145408,3.03258607066386e-10,7.81800689017144e-07,-0.422677606490316,0.071098129812743,"NFATC3"
"7504",84.3104961808712,2.28483445707858,0.369679247659207,6.18058620154107,6.38640126547357e-10,1.41121221106207e-06,2.15550796702369,0.387770663143294,"XK"
"222236",773.254086609779,-0.81951430210812,0.136212299001161,-6.01644864757136,1.78285019789428e-09,3.44714085762859e-06,-0.774205208314306,0.138070878242437,"NAPEPLD"
"5524",1087.19314956648,0.561670027329858,0.0943683871845569,5.95188753444939,2.65067503603827e-09,4.55562682860445e-06,0.531998017094633,0.0973243436894603,"PTPA"
"55663",190.609697803768,-1.41250795067767,0.246559785341423,-5.72886591672567,1.01104267131496e-08,1.56388080398998e-05,-1.32341427705487,0.248050807770921,"ZNF446"
"23026",221.399336542964,-1.03929414213088,0.183373720282452,-5.6676286031065,1.44787377006634e-08,2.03597377048965e-05,-0.972213149696424,0.185865466118597,"MYO16"
"27077",174.615753474713,-0.982491980615099,0.179065476692737,-5.48677499851622,4.09337974041132e-08,5.27636648539019e-05,-0.91779772664073,0.18189381224419,"B9D1"
