"entrez_id","baseMean","lfc_mle","lfcSE_mle","stat_mle","pvalue_mle","padj_mle","lfc_apeglm","lfcSE_apeglm","gene_symbol"
"117283",190.87201099584,5.22024122134102,0.681701514399958,7.65766411115566,1.89345314182588e-14,2.92879331977627e-10,5.03507438486688,0.711686915719007,"IP6K3"
"25799",154.108303425539,-1.17087768470004,0.161888048242048,-7.23263821767373,4.73700117889148e-13,3.66359671175467e-09,-1.12553792763062,0.16302887757843,"ZNF324"
"9644",1308.06726917513,-1.33604201281746,0.195554002455703,-6.8320872804437,8.36879037148798e-12,4.3149483155392e-08,-1.27720963026854,0.196307421941821,"SH3PXD2A"
"9540",215.112340581449,2.0600212915385,0.311630242871157,6.61046653418109,3.83110721147054e-11,1.18519132694053e-07,1.95442787998555,0.328414500672353,"TP53I3"
"7504",84.3104961808712,2.28483445707858,0.369679247659207,6.18058620154107,6.38640126547357e-10,1.41121221106207e-06,2.15550796702369,0.387770663143294,"XK"
"55663",190.609697803768,-1.41250795067767,0.246559785341423,-5.72886591672567,1.01104267131496e-08,1.56388080398998e-05,-1.32341427705487,0.248050807770921,"ZNF446"
"23026",221.399336542964,-1.03929414213088,0.183373720282452,-5.6676286031065,1.44787377006634e-08,2.03597377048965e-05,-0.972213149696424,0.185865466118597,"MYO16"
"91947",1200.27453717767,1.39918879190333,0.26057404055056,5.3696400030756,7.88939699245982e-08,7.89641396162018e-05,1.30351558904724,0.279621309185156,"ARRDC4"
"83953",360.285970989794,2.13402900887911,0.399604870272894,5.34034784766704,9.27684084654059e-08,7.97189856746055e-05,1.97440121053315,0.436702738848353,"FCAMR"
"9235",2056.34038161327,2.00578148073965,0.380848161175067,5.26661721183323,1.38960536005801e-07,0.000102354360520844,1.85855223201373,0.417691347664903,"IL32"
"1890",709.076871491335,1.14288971887011,0.217983364909563,5.24301347189622,1.57974999784036e-07,0.000111070786211794,1.05979259069079,0.232832948767659,"TYMP"
"2326",141.200681318072,3.4498532911399,0.669813770355419,5.15046635919313,2.59839537751085e-07,0.000143542784640492,3.15095506130222,0.759576324069463,"FMO1"
