"gene","wgcna_module","kWithin","old_module"
"SGK1","ME_turquoise",0.582421292346916,"M2"
"SLC1A7","ME_turquoise",0.126978901963816,"M2"
"SLC49A3","ME_turquoise",1.52806635426072,"M1"
"SOCS3","ME_turquoise",2.00846367952018,"M2"
"SPINT1","ME_turquoise",0.815989395406786,"M2"
"SPP1","ME_turquoise",0.153222751393387,"M2"
"SPSB1","ME_turquoise",1.04138771950299,"M2"
"SRGN","ME_turquoise",0.348840646728282,"M2"
"ST14","ME_turquoise",0.77444965672711,"M2"
"STMN2","ME_turquoise",0.265840839393463,"M2"
"SULT1C2","ME_black",0.00723957207822541,"M4"
"SUSD2","ME_turquoise",1.7766439122867,"M2"
"TELO2","ME_turquoise",3.92433597273295,"M1"
"THBS1","ME_turquoise",2.21401555080049,"M2"
"THY1","ME_turquoise",0.937762986924493,"M2"
"TMEM125","ME_pink",9.05185466849314e-05,"M7"
"TMEM150B","ME_turquoise",0.277335750242564,"M1"
"TMEM54","ME_turquoise",1.26562224540452,"M1"
"TNFRSF12A","ME_turquoise",3.37290279107982,"M2"
"TRABD","ME_turquoise",6.969554902941,"M1"
"TREM2","ME_turquoise",0.218250656930652,"M2"
"TSSC4","ME_turquoise",5.13229631756762,"M1"
"TTYH3","ME_turquoise",2.9266021261184,"M1"
"UBTD1","ME_turquoise",2.4715333333312,"M1"
"ZFP36","ME_turquoise",3.11887241094206,"M2"
