"gene","wgcna_module","module_num","kWithin"
"THY1","ME_turquoise",1,0.937762986924493
"TMEM125","ME_pink",8,9.05185466849314e-05
"TMEM150B","ME_turquoise",1,0.277335750242564
"TMEM54","ME_turquoise",1,1.26562224540452
"TNFRSF12A","ME_turquoise",1,3.37290279107982
"TRABD","ME_turquoise",1,6.969554902941
"TREM2","ME_turquoise",1,0.218250656930652
"TSSC4","ME_turquoise",1,5.13229631756762
"TTYH3","ME_turquoise",1,2.9266021261184
"UBTD1","ME_turquoise",1,2.4715333333312
"ZFP36","ME_turquoise",1,3.11887241094206
